Название,Описание,Эпоха,Вторая культура,Тип,Y,X,id
Алексеевское поселение XII,"Алексеевское, рабочий поселок. Расположено в 3 км к северо-западу от южной окраины поселка на острове-останце размытой второй надлуговой террасы. Площадь распространения подъемного материала 200Х80 м. В нем разнообразная глиняная посуда, гончарная и лепная (шамотного и раковинного теста), глиняные напрясла, железные предметы (удила, нож, замок, рыболовный крючок), вещи из цветного металла (часть сосуда, ключ от замка в виде фигурки животного, обломок зеркала), часть жернова, джучидские монеты.",2,15,2,"50,090389","55,310806",1
Алексеевское поселение IX,"Алексеевское, рабочий поселок. Расположено в 5, 3 км к северо-западу от поселка. На площади 120Х20 м встречается разнообразный и обширный материал в виде булгарской домонгольской и более поздней керамики, а также более грубой XV—XVI вв. Много железных вещей (ножи, удила, часть весов, гвозди, часть чугунного котла, детали замка), предметов из цветного металла (кусок листовой меди, ручка от котла, штампованная бляшка, свинцовое грузильце). Здесь же собрана приказанская керамика эпохи бронзы.",2,17,2,"50,012628","55,325539",2
Березовогривское селище,"Березовая Грива, деревня. Расположено в 1 км к северо-северо-востоку от деревни на краю останца надлуговой террасы. Размывается. Материал — булгарская керамика позднего облика и несколько отличная от нее более грубая. Есть железные предметы (ножи, стрелы, ножницы и др.) вещи из цветного металла (обломки зеркала, медных сосудов, бубенчик).",2,17,2,"49,75775","55,208239",3
Мокрокурналинское селище VI,"Мокрые Курнали, село. Расположено в 2,4 км к северо-востоку от села на краю распаханной надлуговой террасы. Площадь распространения подъемного материала на пашне 300Х20 м. Материал представлен разнообразной булгарской керамикой гончарной и лепной и железными вещами (калачевидное кресало, обломки ножей, стремена, тесло, молот и др.). Кроме булгарской керамики найдены фрагменты грубой посуды с бугристой поверхностью позднего облика (XV-XVI вв.).",2,17,2,"49,963136","55,317289",4
Сахаровское селище I,"Сахаровка, село. Расположено в 2,5—3 км к северу от села на мысу надлуговой распаханной террасы. Площадь 120Х40 м. Материал—гончарная позднего облика керамика.",2,17,2,"50,291461","55,338269",5
Тукмаклинское кладбище (Изге Урын),"Тукмаклы, бывший поселок Чистопольского района, правый берег р. Тукмаклы, правый приток р. Каргала. На восточной окраине поселка — старое кладбище под названием «Изге урын» («Святое место») . На нем есть необработанные без надписей камни.",2,17,4,"50,831864","55,278914",6
Саконская стоянка VII,"Саконы, село. Расположена в 20—25 м юго-восточнее Саконской стоянки V на склоне останца надлуговой террасы. Культурный слой размыт. Подъемный материал распространен на площади 45Х15 м и представлен фрагментами волго-камской неолитической, волосовской, срубной, азелинской и булгарской керамики и кремневыми сколами.",5,28,2,"50,1735","55,355733",7
Алексеевское поселение XVa,"Алексеевское, рабочий поселок,. В 6 км к северо-западу от поселка на размываемом останце надлуговой террасы в 1966, 1982, 1983 гг. П. Н. Старостиным и Е. А. Беговатовым выявлены пятна от хозяйственных ям, собрана большая коллекция срубных (керамика, кремневые изделия, медный нож с ромбической пяткой черенка и шило) и булгарских предметов (керамика, пряслица, железные ножи, ключи, бронзовые украшения, ушки от котла).",5,36,2,"49,999228","55,324847",8
Базяковская стоянка IV,"Базяково, село. В 1,6 км к северо-западу от Базяковского взвоза в 1965 г. на площади 100Х40 м собраны фрагменты волго-камской неолитической, волосовской энеоли-тической и приказанйкой керамики, кремневые изделия и округлая сланцевая подвеска.",5,36,2,"49,624425","55,169675",9
Базяковская стоянка IX,"Базяково, село. В 0,1 км к северо-востоку от Базяковской стоянки V разведкой М. Г. Косменко летом 1973 г. на краю размытой надлуговой террасы на площади 30Х40 м собраны срубная и поздняя приказанская керамика.",5,36,2,"49,643383","55,166158",10
Базяковская стоянка VI,"Базяково, село . В 1,5 км к северу от Базяковского взвоза на юго-восточном конце останца надлуговой террасы в 1971 г. М. Г. Косменко на площади 60Х30 м собрана срубная и приказанская керамика.",5,36,2,"49,644542","55,176869",11
Байтеряковская стоянка II,"Байтеряково, деревня. В 1,4 км к северо-северо-западу от деревни на площади 90Х30 м в размыве берега в 1967 г. собрана срубная и приказанская керамика. Слой не зафиксирован.",5,36,2,"50,353919","55,372192",12
Балахчинская стоянка I,"Балахчино, село. В 3 км к северо-западу от села на краю надлуговой террасы разведкой ТАЭ 1965 г. (отряд П. Н. Старостина) зафиксированы остатки древнего поселения. На площади 100Х100 м собран подъемный материал, включающий неолитическую, срубную и приказанскую керамику, кремни, сланцевые привески; бронзовые нож, шило, крючок, бляшку, слиток.",5,36,2,"49,878711","55,321981",13
Березовогривская стоянка I,"Березовая Грива, деревня . В 1,65 км к западу-северо-западу от деревни на северной оконечности «Лисьей косы» на площади 80Х50 м АЭ КФАН летом 1964 и 1973 гг. собраны фрагменты волго-камской неолитической и приказанской керамики. Здесь же найден фрагмент абашевского сосуда и бронзовый нож с выраженным черешком.",5,36,2,"49,715961","55,207",14
Березовогривская стоянка VI,"Березовая Грива, деревня. В 2,5 км к северу от деревни в размыве края террасы на площади 150Х130 м в 1967 г. собрана позднесрубная и приказанская керамика.",5,36,2,"49,747547","55,226064",15
Змеевское поселение I,"Змеево, село . В 700 м к востоку-северо-востоку от Змеевского селища III , в 22 м к востоку-северо-востоку от села на северной стороне останца надлуговой террасы в 1984 г. на площади 100Х30 м вдоль берега собрана срубно-приказанская керамика.",5,36,2,"50,768247","55,399886",16
Змеевское поселение II,"Змеево, село. В 2,5 км к востоку-северо-востоку от села, в 400 м к востоку от Змеевского поселения I в 1984 г. на краю того же останца надлуговой террасы на площади 100Х50 м собрана срубно-приказанская керамика. Слой не выявлен.",5,36,2,"50,7752","55,400397",17
Змеевское поселение III,"3меево, село . В 2,8 км к востоку-северо-востоку от села, в 0,25—0,3 км к востоку от Змеевского поселения II на размытом краю останца надлуговой террасы в 1984 г. на площади ,250Х50 м собрана многочисленная срубно-приказанская керамика. Слой не выявлен.",5,36,2,"50,778589","55,400422",18
Кузькинская стоянка I,"Кузькино, бывшая деревня. В 0,8 км к западу от бывшей деревни на размытом останце надлуговой террасы разведкой ТАЭ 1965 г. (отряд П. Н. Старостина) на площади 300Х100 м зафиксировано скопление археологического материала (керамика, кремневые изделия, зернотерочная плита и т. д.). В 1971 и 1973 гг. памятник дополнительно обследован М. Г. Косменко.",5,36,2,"49,873508","55,344867",19
Кузькинская стоянка II,"Кузькино, бывшая деревня. В 1,5 км к северо-западу от бывшей деревни П. Н. Старостиным в 1965 г. на площади 200Х50 м на краю размытой террасы собрана срубно-приказанская керамика. Здесь же отмечена балановская керамика позднего облика.",5,36,2,"49,862178","55,349161",20
Кузькинская стоянка XII,"Кузькино, бывшая деревня. В 4,2 км к юго-юго-западу от бывшей деревни, в 2,5 км к юго-востоку от Кузькинской стоянки IV П. Н. Старостиным в 1965 г. на краю надлуговой террасы на площади 55Х40 м собрана поздненеолитическая, срубная и приказанская керамика.",5,36,2,"49,867069","55,344817",21
Кузькинская стоянка XIX,"Кузькино, бывшая деревня. В 5 км к юго-западу от Кузькинской стоянки I П. Н. Старостиным в 1956 г. на краю размытой надлуговой террасы на площади 80х90 м собраны неолитическая камская, срубная и приказанская керамика, а также кремневые орудия.",5,36,2,"49,848614","55,329111",22
Кузькинская стоянка XV,"Кузькино, бывшая деревня. Стоянка открыта летом 1965 г. отрядом ТАЭ в 2 км к юго-западу от Кузькинской стоянки I на размытом краю надлуговой террасы. На площади 130Х90 м собран подъемный материал (керамика и кремни).",5,36,2,"49,895569","55,332342",23
Кузькинская стоянка XXIII,"Кузькино, бывшая деревня. В 3,4 км к югу-юго-западу от бывшей деревни на краю надлуговой террасы, около залива протоки. Культурный слой разрушен. На поверхности прослежены котлованы жилищ подчетырехугольной формы размером 6Х8 м, ориентированные по сторонам света. С южной стороны котлованов прослеживаются тамбуры-входы. На площади 75Х35 м собрана керамика срубного и приказанского облика.",5,36,2,"49,864578","55,326372",24
Кузькинское селище III,"Кузькино, бывшая деревня. На месте бывшей деревни Е. А. Беговатовым в 1984 г. собрана срубная, приказанская и булгарская керамика, глиняные напрясла и бронзовые изделия, в том числе кельт-тесло.",5,36,2,"49,876767","55,330775",25
Лебединская стоянка VIII,"Лебедино, село. Памятник расположен в 2,5 км к западу от села. ТАЭ 1967 г. на краю надлуговой террасы на площади 60Х60 м собран подъемный материал, включающий неолитическую, приказанскую, ананьинскую и булгарскую керамику, а также кремень и бронзовые изделия.",5,36,2,"49,78725","55,227075",26
Лебединское поселение I,"Лебедино, село. Расположено в 3 км к северо-западу от села на северной оконечности размытой надлуговой террасы. На площади 135Х50 м ТАЭ 1967 г. отмечены три полуземляночные впадины размером 10Х10 и 20Х10 м. На поверхности собрана керамика срубного и приказанского типа.",5,36,2,"49,770119","55,243931",27
Лебяжская островная стоянка I,"Лебяжье, село Алексеевского района, левый берег р. Камы. В 3,25 км к северу от села на размытом останце надлуговой террасы разведкой ТАЭ 1967 г. (отряд П. Н. Старостина) на площади 60Х80 м собрана срубная и приказанская керамика. Слой не зафиксирован. В 1972 и 1973 гг. памятник дополнительно обследован М. Г. Косменко.",5,36,2,"50,182814","55,358789",28
Нижнемарьянская стоянка IV,"Нижний Марьян, бывшая деревня. В 0,6 км к северо-западу от бывшей деревни в 1967 г. осмотрена стоянка с 9 жилищными впадинами. В подъемном материале встречено большое количество керамики, кремневых изделий. Найдена бронзовая мотыжка.",5,36,2,"49,630236","55,161392",29
Нижнемарьянская стоянка V,"Нижний Марьян, бывшая деревня. В 0,6 км к северо-западу от бывшей деревни в 1967 г. осмотрена стоянка с 9 жилищными впадинами. В подъемном материале встречено большое количество керамики, кремневых изделий. Найдена бронзовая мотыжка.",5,36,2,"49,630236","55,161392",30
Нижнемарьянская стоянка VII,"Нижний Марьян, бывшая деревня. В 0,5 км к юго-востоку от Нижнемарьянской стоянки IX в 1965 г. на площади 20Х30 м собрана срубная и приказанская керамика.",5,36,2,"49,619292","55,161442",31
Остолоповская стоянка I,"Остолопово, село. В 1984 г. в 150 м к юго-юго-западу от Остолоповского селища I на мысу, образованном старицей и современным руслом р. Шентала, Р. С. Габяшевым на площади 50Х30 м собрана срубно-приказанская керамика. Слой не выявлен.",5,36,2,"50,268408","55,361817",32
Первомайская стоянка II,"Первомайский, бывший поселок. В 200 м к востоку от бывшего поселка на размыве в 1967 г. на площади 20Х10 м собрана керамика срубного и приказанского облика.",5,36,2,"49,724158","55,250836",33
Сахаровское поселение,"Сахаровка, село. Открыто в 1984 г. Р. С. Габяшевым в 3,5 км к северо-северо-востоку от села и в 0, 5 км к северу от Сахаровского селища 1 на мысу надлуговой распаханной террасы правого берега р. Шентала. На площади 50Х40 м собрана срубно-при-казанская и ананьинская керамика. В обрыве прослежен культуртурный слой (темно-серая супесь) мощностью 40—60 см.",5,36,2,"50,294825","55,3467",34
Солонцовская стоянка I,"Солонцы, бывшая деревня. На месте школы бывшей деревни на площади 100Х60 м на краю останца надлуговой размытой террасы в 1965 г. П. Н. Старостиным собрана керамика раннесрубного и позднеприказанского облика. Слой не зафиксирован.",5,36,2,"49,823786","55,268719",35
"Чувашская культура, поселение","Чувашская Культура, бывший поселок. В 0,3 км к западу от бывшего поселка в 1967 г. П. Н. Старостиным обнаружено раннесрубное поселение. Здесь же отмечена раннеприказанская керамика.",5,36,2,"49,757578","55,243897",36
Шалбинская стоянка I,"Шалбы, бывшая деревня. В 0,6 км к западу от бывшей деревни в размыве края надлуговой террасы на площади 100Х50 м разведкой ТАЭ 1965 г. собрана керамика срубного и приказанского облика.",5,36,2,"49,839278","55,302947",37
Березовогривская стоянка IV,"Березовая Грива, деревня . Расположена в 1,8 км к западу-северо-западу от деревни и в 0,2 км к северо-западу от Березовогривской стоянки 1 . Осматривалась в 1964, 1967 и 1973 гг. А. X. Халиковым, М. Г. Косменко. Подъемный материал состоит из кремневых изделий позднемезолитического облика и фрагментов приказанской керамики.",7,36,2,"49,713386","55,207686",38
Кузькинская стоянка XVIII и могильник,"В 5,3 км к юго-западу от бывшей деревни и в 4, 5 км к юго-западу от Кузькинской стоянки I на площади 160Х90 м П. Н. Старостиным собраны кремневые изделия и фрагменты неолитической, срубной и приказанской керамики. Им же здесь расчищено погребение срубной культуры.",5,36,9,"49,845181","55,335667",39
Березовогривско-Алексеевское поселение III,"Алексеевское, рабочий поселок. Расположено в 3,2 км к северо-западу от райцентра, в 300 м к северу от Березовогривско-Алексеевского поселения II на той же надлуговой террасе. Культурный слой мощностью 40 см. На площади поселения (120Х60 м) заметны два котлована овальной формы размером 10Х6 м.",5,43,2,"50,048886","55,316889",40
Березовогривско-Алексеевское поселение IV,"Алексеевское, рабочий поселок. Расположено в 2,9 км к северо-западу от рабочего поселка, в 300 м к юго-западу от Березовогривско-Алексеевского поселения I на останце надлуговой террасы. На площади 60Х20 м в 1966 г. собраны неолитическая, энеолитическая и срубная керамика.",5,43,2,"50,052833","55,319925",41
