Название,Описание,Культура,Тип,Y,X,id,Эпоха
Ирмяшевское городище,"Ирмяшево, деревня. Открыто А. П. Шокуровым в 1956 г. в юго-западной окраине деревни на мысу коренной террасы реки. Площадка овальная (около 6 тыс. кв. м.), ограждена с напольного края валами. Внешний вал (длина 75 м, ширина в основании 12 м, высота 0,8 м) разрушен пахотой. Примыкавший с напольной стороны к нему ров заплыл. Внутренний вал (длина 75 м, ширина в основании до 24 м, высота около 2 м) сравнительно хорошей сохранности. Дополнительно памятник обследован ТАЭ в 1958 г. Материал городища — керамика ананьинского и пьяноборского типа.",49,1,"54,0475","55,732272",1,4
Такталачукский могильник,"Такталачук, село. Расположены в 800 м к юго-западу от деревни Уразаево и в 2 км к востоку от соли на мысу коренной террасы, разделявшем поймы по левому берегу р. Белой и правому берегу р. Шабыз. Самую высокую часть мыса занимает городище-убежище с площадкой, изрытой кладоискателями. К западу от городища на широком уступе террасы выявлена группа памятников. В 1956 г. (А. П. Шокуров) здесь обнаружено большое пьяноборское селище и могильник, па котором в 1958 г. (В. Ф. Генинг) изучено два мусульманских погребения. В 1969— 1972, 1976-1979 гг. (Е. П. Казаков) на раскопках I—XIX на площади около 4 тыс. кв. м вскрыто более 350 погребений различных эпох. среди которых 5 срубных, свыше 70 черкаскульских. Срубные погребения со скорченными костями, имеющими северную ориентацию, сопровождались сосудами. Черкаскульские захоронения с несколько скорченными костяками, ориентированные головой в восточном направлении, содержали сосуды с примесью раковины в тесте, кремневые наконечники стрел, бронзовые ножи и другие изделия.",60,4,"53,914506","55,75035",2,5
Дербеденевский клад,"Дербедень, деревня Альметьевского района, правый берег р. Кичуй. В 1874 г. близ деревни в лесу при расчистке пашни найдена группа медных и бронзовых предметов. Большая часть клада поступила в Уфимский музей, меньшая—в Казанский. В состав клада входят 7 серпов-секачей, 2 одноушковых кельта, кельт с лобным ушком, втульчатое тесло, нож-бритва с упором на черенке, черешковый наконечник стрелы и бляха.",36,8,"52,016164","54,948269",3,5
Подгорно-Байларское селище II,"Подгорные Байлары, село В 1958 г. в 1-1.5 км к востоку от села на широком распаханном мысу коренной террасы на площади 500Х500 м собрана керамика и выявлен слой в 30—40 см.",49,2,"53,017319","55,746936",4,4
"Золотая Падь II, стоянка","Игим, бывшее село. В 7 км к западу от бывшего села и в 4,5 км к югу от бывшего села Старый Красный Бор на останце надлуговой террасы правого берега р. Ик. при раскопках Татарского отряда НКАЭ обнаружены жилища эпохи неолита и бронзы, хозяйственные ямы. Вещевой материал представлен неолитической камской, энеолитической гарино-борской, срубной, пьяноборской керамикой и единичными фрагментами ананьинской, кушнаренковской керамики.",49,2,"53,188703","55,781092",5,4
Булякское селище I,"Буляк, деревня. Открыто разведкой А. П. Шокурова в 1965 г. в 1 км к западу от деревни на краю надлуговой террасы. Дополнительное обследование проводилось Татарским отрядом НКАЭ в 1969— 1972 гг. и в 1979 г. Раннеболгарской экспедицией. Материал—керамика ананьинского и пьяноборского облика.",49,2,"53,686442","55,795611",6,4
Чинниковское селище,"Чинниково, поселок Актанышского района, левый берег р. Шабыз, левого притока р. Белой. Открыто разведкой ТАЭ в 1958 г. в 0,7 км к юго-востоку от поселка на невысоком мысу левого берега реки. На площади 100Х80 м встречается ананьинская и пьяноборская керамика.",49,2,"53,687847","55,651072",7,4
Иманлейская стоянка,"Иманле, деревня. Памятник, открытый А. П. Шокуровым в 1970 г., обследовался в 1971—1972 гг. Он расположен в 250 м к юго-западу от бывшей деревни на краю надлуговой террасы. В культурном слое мощностью 30 см зафиксированы следы сооружений, керамика, кремневые и бронзовые изделия эпохи бронзы.",40,2,"53,196425","55,489664",8,5
"Золотая Падь II, стоянка","Игим, бывшее село. В 7 км к западу от бывшего села и в 4,5 км к югу от бывшего села Старый Красный Бор на останце надлуговой террасы правого берега р. Ик. при раскопках Татарского отряда НКАЭ обнаружены жилища эпохи неолита и бронзы, хозяйственные ямы. Вещевой материал представлен неолитической камской, энеолитической гарино-борской, срубной, пьяноборской керамикой и единичными фрагментами ананьинской, кушнаренковской керамики.",56,2,"53,188703","55,781092",9,5
Деуковская стоянка I,"Деуково, село Памятник открыт в 1930-х гг. Л. И. Ва-раксиной, расположен на мысу надпойменной террасы в 2,25 км к востоку-северо-востоку от окраины села. В 1958 г.. 1969—1970 гг. проводились его раскопки, вскрыта площадь более 300 кв. м. Вещевой материал представлен лепной керамикой с примесями шамота и толченой раковины с резным, гребенчатым, ямочным, накольчатым орнаментом, бронзовыми предметами, костью.",60,2,"52,948836","55,775608",10,5
