name,descr,epoch,culture,second,type,y,x,id
Ага-Базар' местонахождение,"Куйбышев, город. В 0,3 км к юго-юго-западу от Ага-Базарского селища на размытой поверхности в 1967 г. Р. С. Габяшев обнаружил кремневый наконечник листовидной формы.",5,100000000000011,,3,48.984278,55.008244,1
Ага-Базар' местонахождение,"Куйбышев, город. В 0,3 км к юго-юго-западу от Ага-Базарского селища на размытой поверхности в 1967 г. Р. С. Габяшев обнаружил кремневый наконечник листовидной формы.",6,100000000000011,,3,48.984278,55.008244,2
Ага-Базар' селище,"Куйбышев, город. Расположено в урочище «Ага-Базар» в 6 км к западу от города, на берегу современного волжского залива, образовавшегося в устье речки Меленка. Занимало небольшую возвышенность, поросшую лесом. Исследовалось разведками и раскопками КАЭ 1952 1954 гг. Выявлены напластования от Х и до началa XV вв. с земляночными и срубными наземными постройками, с горнами и большим количеством разнообразного материала. Содержание слоя позволило исследователям определить «Ага-Базар» как ремесленно-торговый поселок городского тина, бывший гаванью г. Булгара на Волге.",2,15,,2,48.985272,55.008706,3
Борки' селище,"Куйбышев, город. Урочище было расположено на останце надлуговой террасы левого берега Волги, правого берега реки Меленка в 0,3 км к северу от Ага-Базара. В настоящее время затоплено Куйбышевским водохранилищем. КАЭ были зафиксированы остатки слоя поселения, содержавшего лепную керамику с примесями толченых раковин и растительных остатков, иногда слабо орнаментированную по верхнему краю ямочными вдавлениями. Остатки аналогичной керамики были встречены при обследовании водохранилища осенью 1964г.",3,100000000000008,,2,48.985081,55.011267,4
Коптелов Бугор' городище,"Куйбышев, город. «Коптелов Бугор» — мыс между левым коренным берегом Волги и Иерусалимским оврагом на территории Булгарского городища. Название урочища связано с фамилией крестьянина Коптелова, проживавшего на данной территории. Поверхность мыса сложена из суглинков и во многих местах разрушается оползнями, спуском к реке и дорогами в деревню Подываново. Последняя разделила мыс на две части. В обнажениях около дорог прослеживаются остатки культурного слоя мощностью 0,5—0.8 м, содержащего древнюю керамику, щебенку и обломки костей животных. На территории «Коптелова Бугра» зафиксированы все семь слоев основной стратиграфической колонки городища. Археологическими раскопками, проводимыми на территории «Коптелова Бугра» в 1938 г. (под руководством А. П. Смирнова и Н. Ф. Калинина) и 1972, 1979 гг. (под руководством П. Н. Старостина) зафиксированы остатки догородского слоя, относящегося к именьковской культуре. Исследованиями 1972, 1979 гг. изучены также остатки оборонительных сооружений в виде рва и вала, пересекавших мыс и ограждавших городище с напольной стороны. Судя по остаткам, вал городища имел кокошниковидную форму, а ров был дуговидным. Глубина рва составляла около 4 м, а ширина около 15 м. В золотоордынскую эпоху остатки древних укреплений на «Коптеловом Бугре» были снивелированы и территория стала использоваться под жилищные и хозяйственные постройки. В коллекционном материале с «Коптелова Бугра» представлены находки, относящиеся к середине 1 тыс. н. э. и до позднего средневековья.",2,15,17,1,49.064139,54.987325,5
Старое Озеро' поселение I,"Куйбышев (Старый), бывший город. Расположено в 0,5 км к югу от центра бывшего города на южном берегу озера. Поверхность поселения задернована. Разведкой ТАЭ 1967 г. собран подъемный материал, представленный керамикой срубного типа.",5,43,,2,49.369089,55.040414,6
Старое Озеро' поселение II,"Куйбышев (Старый), бывший город. Расположено в 100 м к западу от поселения «Старое озеро» I, на той же надлуговой террасе. Поверхность в значительной части задернована. ТАЭ 1967 г. собран подъемный материал, который представлен керамикой срубного типа.",5,43,,2,49.362394,55.037561,7
Ага-Базар могильник,"Куйбышев, город. Расположен к северо-востоку от селища. Е. П. Казаковым в 1964 г. на площади 80х50 м зафиксированы разбросанные кости человека. В 1961 1964 гг. археологами ИЯЛИ и местными краеведами отмечалось большое количество остатков человеческих костяков. Выявлен костяк, лежавший на глубине 1 м от поверхности в вытянутом положении на спине, головой на запад, без вещей. Ныне могильник полностью разрушен Куйбышевским водохранилищем.",2,15,,4,48.985692,55.007417,8
Ага-Базарские находки,"Куйбышев, город. В 1983 г. из района Ага-Базар в БГИАЗ поступил кельт акозинско-меларского типа. Коллекция: БГИАЗ.",4,25,,3,48.984278,55.007086,9
Ага-Базарские стоянки I,"Куйбышев, город. Расположена в 4,5 5 км к северо-северо-западу от бывшего села Болгары и занимает самую оконечность мыса останца надлуговой террасы левого берега в районе урочища «Ага-Базар». Разведкой П. Н. Старостина 1966 г. отмечено, что культурный слой полностью размыт и подъемный материал распространен на площади 30Х30 м. Находки представлены фрагментами керамики и кремневыми изделиями.",5,47,,2,48.984758,55.005506,10
Ага-Базарские стоянки I,"Куйбышев, город. Расположена в 4,5 5 км к северо-северо-западу от бывшего села Болгары и занимает самую оконечность мыса останца надлуговой террасы левого берега в районе урочища «Ага-Базар». Разведкой П. Н. Старостина 1966 г. отмечено, что культурный слой полностью размыт и подъемный материал распространен на площади 30Х30 м. Находки представлены фрагментами керамики и кремневыми изделиями.",6,100000000000011,,2,48.984758,55.005506,11
Ага-Базарские стоянки II,"Куйбышев, город. Расположена в 50—60 м к востоку от Ага-Базарской стоянки 1 на краю того же останца надлуговой террасы. Разведкой П. Н. Старостина 1966 г. установлено, что культурный слой полностью размыт и подъемный материал распространен на площади 30Х15 м. Находки состоят из фрагментов накольчатой керамики и кремневых изделий.",6,100000000000011,,2,48.984758,55.005506,12
Ага-Базарские стоянки III,"Куйбышев, город. Расположена в 60 м к востоку от Ага-Базарской стоянки II на краю того же останца надлуговой террасы. Разведкой П. Н. Старостина 1966 г. установлено, что культурный слой полностью размыт и подъемный материал распространен на площади 30Х30 м. Находки представлены фрагментами накольчатой керамики и кремневыми изделиями.",6,100000000000011,,2,48.984758,55.005506,13
Ага-Базарские стоянки IV,"Куйбышев, город. Расположена в 100 м к востоку от Ага-Базарской стоянки III на краю того же останца надлуговой террасы. Разведкой П. Н. Старостина отмечено, что культурный слой полностью размыт и подъемный материал распространен на площади 30Х20 м. Находки представлены кремневыми изделиями.",6,100000000000011,,2,48.984758,55.005506,14
