Название,Описание,Эпоха,Culture,Вторая культура,Type,Y,X,id
Абалдуевское селище I,"Абалдуевка (Приозерное), деревня. В 1,8—2 км к северо-северо-востоку от деревни ТАЭ в 1964 г. выявлено селище площадью в 80 000 кв. м.",2,11,,2,50.296911,54.967397,1
Абалдуевское селище II,"Абалдуевка (Приозерное), деревня. В 3,2 км к юго-востоку от деревни ТАЭ в 1964 г. обнаружено селище площадью 30000 кв. м.",2,11,,2,50.315278,54.931581,2
Акбулатовское кладбище,"Акбулатово, деревня. В 2 км к юго-востоку от деревни в 1963 г. Г. В. Юсуповым определено место старого кладбища, где стояли каменные надгробия.",2,15,,4,50.644447,55.101742,3
Акбулатовское кладбище,"Акбулатово, деревня. В 2 км к юго-востоку от деревни в 1963 г. Г. В. Юсуповым определено место старого кладбища, где стояли каменные надгробия.",2,15,,12,50.644447,55.101742,4
Аксубаевские находки,"Аксубаево, рабочий посёлок, левый берег р. Малая Сульча. Из села происходят «плоский глиняный сосуд в виде лампы» и «металлическая чашка или крышка»",2,15,,3,50.906186,54.838328,5
Аксубаевское городище,"Аксубаево, рабочий посёлок. Расположено в 1,5 км к западу от посёлка, на правом берегу верховий Аксу, между двумя неглубокими оврагами-ложбинками глубиной около 2 м. С напольной и мысовой части городище ограждено системой укреплений из одного вала и двусторонних рвов. Сохранность валов удовлетворительная, их высота 1,2 и 1,45 м. С северной и южной сторон, т. е по террасам оврагов. укрепления отсутствуют за исключением северо-западного угла Площадь городища 16 000 кв. м. Культурный слой имеет мощность около 35 см и содержит в основном булгарскую керамику. Городище известно с конца XIX столетия.",2,11,,1,50.769094,54.846531,6
Аксубаевское местонахождение,"Аксубаево, рабочий посёлок. К востоку-юго-востоку от Аксубаевского городища  за оврагом отмечены находки булгарской керамики.",2,15,,3,50.928303,54.835817,7
Аксубаевское селище I,"Аксубаево, рабочий посёлок. На напольной стороне Аксубаевского городища между укреплениями городища и посёлком Аксубаево расположено обширное селище, занимающее площадь до 180000 (600Х300 м) кв. м. Слой до 40 см.",2,11,,2,50.775131,54.846444,8
Аксубаевское селище II,"Аксубаево, рабочий посёлок , правый берег речки Аксу, правого притока р. М. Сульча. В 1 км к западу от посёлка и к югу от городища  ТАЭ в 1970 г. выявлено селище площадью 50 000 (500Х100 м) кв. м.",2,11,,2,50.769981,54.843522,9
Александровское местонахождение,"Александровка, деревня. В 0,4 км к юго-востоку от деревни ТАЭ в 1962 г. найдена булгарская керамика.",2,18,,3,50.151086,55.027236,10
Александровское селище,"Александровка, деревня Алексеевского района, левый берег ручья Челнинка, правого притока речки Баранка. В 0,8 км к юго-востоку от деревни ТАЭ в 1962 г. выявлено селище площадью 2 550 кв. м.",2,11,,2,50.155433,55.024617,11
Аппаковское местонахождение,"Аппаково, село Алькеевского района, левый берег речки Аппак, правого притока реки Малый Черемшан. В селе ТАЭ в 1975 г. найдена булгарская керамика.",2,15,,3,49.968319,54.532411,12
Арбузов-Баранский клад монет,"Арбузов Баран, деревня. Найден в 1870 г. в деревне.",2,18,,8,50.303956,55.019642,13
