name,addr,dat,x,y,status,id
Песчаное местонахождение',"Республика Татарстан, Мамадышский район, с. Омары, 1 км к юго-западу",XIII- XIV вв. н.э. ,55.522300001,51.159269441,1,1
Урочище Киреметь' селище,"Республика Татарстан, Мамадышский район, д. Омарский Починок, 1, 4 км к северу",ХIII- XIV вв. н.э. ,55.557152779,51.208652775,1,2
Абдрахмановская стоянка,"Республика Татарстан, Альметьевский район, с. Абдрахманово, 1, 2 км к югу",VI-VII вв. н.э. ,54.759700001,52.503355553,1,3
Абдрахмановское местонахождение,"Республика Татарстан, Альметьевский район, д. Абдрахманово, 0, 3 км к востоку",II тыс. до н.э. ,54.773713889,52.499752774,1,4
Аверьяновское местонахождение,"Республика Татарстан, Новошешминский район, д. Аверьяновка, северная окраина",XI-XIV вв. н.э. ,55.036005556,51.404374998,1,5
Аверьяновское селище I,"Республика Татарстан, Новошешминский район, д. Аверьяновка, 0, 2 км к северо-западу",X-XIII вв. н.э. ,55.036105556,51.400813887,1,6
Адав-Тулумбаевское поселение,"Республика Татарстан, Буинский район, с. Адав-Тулумбаево, 0, 3 км к",II тыс. до н.э. ,54.927361111,48.343180554,1,7
Адаевская стоянка,"Республика Татарстан, Актанышский район, с. Адаево, 0, 7 км к северу",II тыс. до н.э. ,55.718480556,53.54643333,1,8
Адаевское селище I,"Республика Татарстан, Актанышский район, с. Адаево, 0, 3 км к северу",VI-IV тыс. до н.э.; II тыс. до н.э.; III в. до н.э. - III в. н.э. ,55.715280557,53.547036107,1,9
Адаевское селище II,"Республика Татарстан, Актанышский район, с. Адаево, 0, 7 км к северу",VIII-IV вв. до н.э. ,55.726522223,53.499827775,1,10
Азеевское селище I,"Республика Татарстан, Новошешминский район, с. Азеево, 1, 5 км к юго-западу",X-XIII вв. н.э. ,55.189825001,51.072947219,1,11
Азметьевский могильник I,"Республика Татарстан, Актанышский район, д. Азметьево, 0, 4 км к северо-северо-западу",XII-XVI вв. н.э. ,55.785277778,53.846438886,1,12
Азметьевское городище,"Республика Татарстан, Актанышский район, д. Азметьево, 0, 4 км к северо-северо-западу",III-V вв. н.э. ,55.780400001,53.852755553,1,13
Азметьевское селище,"Республика Татарстан, Актанышский район, д. Азметьево, 0, 4 км к северо-северо-западу",III-V вв. н.э. ,55.786144445,53.850041664,1,14
Азметьевское селище II,"Республика Татарстан, Актанышский район, д. Азметьево, юго-восточная окраина",III-V вв. н.э. ,55.781030557,53.862230553,1,15
Азякульский эпиграфический памятник,"Республика Татарстан, Актанышский район, на терр. д. Азякуль",XVII в. н.э. ,55.751994444,54.012794441,1,16
Айбашское надгробие,"Республика Татарстан, Высокогорский район, с. Айбаш, северо-восточная окраина",XIII-XVI вв. н.э. ,56.103988889,48.990469442,1,17
Айшинский могильник,"Республика Татарстан, Зеленодольский район, с. Айша, у села",III-V вв. н.э. ,55.874375,48.624794442,1,18
Аккузовская стоянка,"Республика Татарстан, Актанышский район, с. Чишма, 0, 8 км к юго-юго-западу",II тыс. до н.э. ,55.521233333,53.92213333,1,19
Аксаринская стоянка,"Республика Татарстан, Заинский район, с. Аксарино, 0, 1 км к юго-западу",XV-XII вв. до н.э. ,55.337350001,51.897905553,1,20
Аксубаевская курганная группа,"Республика Татарстан, Аксубаевский район, 0, 15 км к северу от Аксубаевского поселения",II тыс. до н.э. ,54.863697222,50.782041664,1,21
Аксубаевское городище,"Республика Татарстан, Аксубаевский район, р. п. Аксубаево, 1, 5 км к западу",X-XIII вв. н.э. ,54.846530557,50.769094442,1,22
Аксубаевское поселение,"Республика Татарстан, Аксубаевский район, р. п. Аксубаево, северо-западная окраина, на краю надлуговой террасы",X-XIII вв. н.э. ,54.859894444,50.784702776,1,23
Аксубаевское селище I,"Республика Татарстан, Аксубаевский район, р. п. Аксубаево, 1, 5 км к западу, за укреплениями городища",X-XIII вв. н.э. ,54.846444445,50.775130553,1,24
Аксубаевское селище II,"Республика Татарстан, Аксубаевский район, р. п. Аксубаево, 1 км к западу",X-XIII вв. н.э. ,54.843522222,50.769980553,1,25
Актанышская стоянка I,"Республика Татарстан, Актанышский район, с. Актаныш, 1 км к востоку",II тыс. до н.э. ,55.724544444,54.10023333,1,26
Актанышское селище I,"Республика Татарстан, Актанышский район, с. Актаныш, северо-восточная окраина",III-V вв. н.э. ,55.72391389,54.088988886,1,27
Актанышское селище III,"Республика Татарстан, Актанышский район, с. Актаныш, южная окраина",III в. до н.э. - V в. н.э. ,55.711608334,54.059205553,1,28
Актанышское селище IV,"Республика Татарстан, Актанышский район, с. Актаныш, 1, 5 км к северу от восточной окраины",III в. до н.э. - III в. н.э. ,55.736505557,54.027705553,1,29
Аланбексерская стоянка,"Республика Татарстан, Высокогорский район, с. Алан Бексер, 0, 7 км к северу",VIII-VI тыс. до н.э. ,56.187819444,49.107944442,1,30
Алексеевская стоянка I,"Республика Татарстан, Алексеевский район, п. г. т. Алексеевское, югоюго-западная окраина",II тыс. до н.э. ,55.29803889,50.088024998,1,31
