name,addr,dat,y,x,status,id
I Малиновское городище,"Республика Татарстан, Агрызский район",не определена,53.044581,55.902086,2,1
II Малиновское городище,"Республика Татарстан, Агрызский район",не определена,53.035056,55.9043,2,2
Пьяноборский могильник ,"Республика Татарстан, Агрызский район",не определена,53.083086,55.890667,2,3
Кирменчугское городище,"Республика Татарстан, Актанышский район",не определена,53.495625,55.866469,2,4
Базяковское городище ,"Республика Татарстан, Алексеевский район",не определена,49.684739,55.176986,2,5
Билярское городище 'Город Бюляр',"Республика Татарстан, Алексеевский район",X-XIV вв.,50.390947,54.977689,2,6
Войкинское IV селище ,"Республика Татарстан, Алексеевский район",не определена,49.793133,55.102122,2,7
Войкинское V селище ,"Республика Татарстан, Алексеевский район",не определена,49.787983,55.114031,2,8
Восточно-Войкинское городище,"Республика Татарстан, Алексеевский район",не определена,49.780161,55.108417,2,9
Городище 'Горки',"Республика Татарстан, Алексеевский район",не определена,50.446619,55.042078,2,10
Городище у д. Николаевский Баран,"Республика Татарстан, Алексеевский район",не определена,50.322761,54.996992,2,11
Гурьевское III селище,"Республика Татарстан, Алексеевский район",не определена,49.894242,55.052767,2,12
Западно-Войкинское городище,"Республика Татарстан, Алексеевский район",не определена,49.799658,55.119622,2,13
Караваевское городище,"Республика Татарстан, Алексеевский район",X-XIII вв. н.э.,49.860283,55.093661,2,14
Кладбище 'Балынгуз',"Республика Татарстан, Алексеевский район",не определена,50.427417,54.994397,2,15
Городище 'Красный ключ',"Республика Татарстан, Алькеевский район",не определена,49.677294,54.832278,2,16
Древнее кладбище Тяжбердинское,"Республика Татарстан, Алькеевский район",не определена,49.933658,54.846864,2,17
Старо-Матакское городище,"Республика Татарстан, Алькеевский район",не определена,49.8585,54.877217,2,18
Старо-Нохрятское городище ,"Республика Чувашия, Цивильский район",не определена,47.470275,55.861733,2,19
Тат. Шапкинский надгробный камень,"Республика Татарстан, Алькеевский район",не определена,49.781261,54.823658,2,20
Тугульбаевское городище ,"Республика Татарстан, Алькеевский район",не определена,49.657803,54.771542,2,21
Б. Кокузское селище ,"Республика Татарстан, Апастовский район",не определена,48.663694,55.308372,2,22
Больше-Отрясское кладбище,"Республика Татарстан, Апастовский район",XIV в.,48.787794,55.103664,2,23
Городище Апастовское,"Республика Татарстан, Апастовский район",не определена,48.505269,55.210172,2,24
Городище Шунгутовское ,"Республика Татарстан, Апастовский район",не определена,48.616458,55.267214,2,25
Така-Тураевское городище,"Республика Татарстан, Апастовский район",не определена,48.597,55.201719,2,26
Чуру-Барышевское городище ,"Республика Татарстан, Апастовский район",не определена,48.591442,55.230025,2,27
Арское городище,"Республика Татарстан, Арский район",не определена,49.888847,56.090047,2,28
Б. Березинское древнее кладбище,"Республика Татарстан, Арский район",не определена,49.835947,56.084964,2,29
Верхне-Атынские надгробния,"Республика Татарстан, Арский район",не определена,49.696339,56.141889,2,30
Древнее кладбище у с. Нижние Метески,"Республика Татарстан, Арский район",не определена,49.913658,56.135039,2,31
Казылинский надгробный памятник,"Республика Татарстан, Арский район",не определена,49.956231,56.135522,2,32
Кишметьевский надгробный камень,"Республика Татарстан, Арский район",не определена,49.720406,56.063208,2,33
Наласинские надгробия ,"Республика Татарстан, Арский район",не определена,49.731675,56.106461,2,34
Нижне-Метескинские надгробия,"Республика Татарстан, Арский район",не определена,49.913658,56.135039,2,35
Средне-Атынские надгробия,"Республика Татарстан, Арский район",не определена,49.674744,56.122622,2,36
Городище Айшиязское ,"Республика Татарстан, Атнинский район",не определена,49.343822,56.277636,2,37
Мало-Атнинские надгробные памятники,"Республика Татарстан, Атнинский район",не определена,49.467697,56.235856,2,38
Ниже-Берескинские надгробные памятники,"Республика Татарстан, Атнинский район",не определена,49.315367,56.233908,2,39
Старо-Кишитские надгробные памятники,"Республика Татарстан, Атнинский район",не определена,49.640264,56.24415,2,40
Старо-Менгерские надгробные памятники,"Республика Татарстан, Атнинский район",не определена,49.543381,56.238786,2,41
Старо-Узюмское кладбище,"Республика Татарстан, Атнинский район",не определена,49.561419,56.338083,2,42
Больше-Каргалинское городище,"Республика Татарстан, Буинский район",не определена,48.390442,54.976386,2,43
Больше-Фроловское городище,"Республика Татарстан, Буинский район",не определена,48.3689,55.0517,2,44
Киятьское селище,"Республика Татарстан, Буинский район",не определена,48.399031,54.894356,2,45
Кугалинское селище II,"Республика Татарстан, Буинский район",не определена,48.387225,54.930533,2,46
Кугалинское селище III,"Республика Татарстан, Буинский район",не определена,48.387225,54.930533,2,47
Кугалинское селище IV,"Республика Татарстан, Буинский район",не определена,48.387225,54.930533,2,48
Р. Кищаковское селище N 1,"Республика Татарстан, Буинский район",не определена,48.441133,54.831253,2,49
Р. Кищаковское селище N 2,"Республика Татарстан, Буинский район",не определена,48.456606,54.828244,2,50
Р. Кищаковское селище N 3,"Республика Татарстан, Буинский район",не определена,48.443081,54.8344,2,51
