name,addr,dat,status,y,x,id
"Воротнее, курган одиночный","Самарская область, Сергиевский район, 1,2 км к ЮЮЗ от с.Воротнее",Не определена,1,51.158856,53.677239,1
"Елшанка I, курганный могильник","Самарская область, Сергиевский район, 1,5 км к северо-западу от с.Елшанка",Не определена,1,50.818397,53.842247,2
"Елшанка I,II, селище","Самарская область, Сергиевский район, 1,3 км к северо-востоку от с.Елшанка",Не определена,1,50.873586,53.842553,3
"Елшанка III, селище","Самарская область, Сергиевский район, 1,3 км к северо-востоку от с.Елшанка",Не определена,1,50.875906,53.844733,4
"Елшанка, курган одиночный","Самарская область, Сергиевский район, Южная окраина с.Елшанка",Не определена,1,50.840456,53.815133,5
"Калиновка I, курганный могильник","Самарская область, Сергиевский район, 1 км к югу от с.Калиновка",Не определена,1,51.285617,53.807564,6
"Калиновка I, селище","Самарская область, Сергиевский район, 3 км к югу от с.Калиновка",Не определена,1,51.289664,53.795314,7
"Калиновка II, курган одиночный","Самарская область, Сергиевский район, 0,15 км к югу от с.Калиновка",Не определена,1,51.283514,53.819856,8
"Калиновка II, курганный могильник","Самарская область, Сергиевский район, 1 км к юго-западу от с.Калиновка",Не определена,1,51.268408,53.805989,9
"Калиновка II, селище","Самарская область, Сергиевский район, 0,5 км к югу от с.Калиновка",Не определена,1,51.288836,53.816047,10
"Калиновка II, селище","Самарская область, Сергиевский район, 1,5 км к северо-востоку от с.Калиновка",Не определена,1,51.306517,53.847019,11
"Калиновка III, курганный могильник","Самарская область, Сергиевский район, 3 км к юго-западу от с.Калиновка",Не определена,1,51.254075,53.801619,12
"Калиновка IV, курганный могильник","Самарская область, Сергиевский район, 3,5 км к югу от с.Калиновка",Не определена,1,51.288578,53.790136,13
"Калиновка, курган одиночный","Самарская область, Сергиевский район, 1 км к востоку от с.Калиновка",Не определена,1,51.321322,53.836967,14
"Красноярка, селище","Самарская область, Сергиевский район, 0,5 км к северо-востоку от с.Красноярка",Не определена,1,51.262986,53.974342,15
"Красноярский, селище","Самарская область, Сергиевский район, 0,25 км к юго-западу от центральной усадьбы пос.Красноярский",Не определена,1,51.2535,53.968592,16
"Нероновка, курганный могильник","Самарская область, Сергиевский район, 2 км к северо-востоку от с.Нероновка",Не определена,1,45.319654,48.176409,17
"Нижняя Орлянка I, курганный могильник","Самарская область, Сергиевский район, 1 км к югу от с.Нижняя Орлянка",Не определена,1,45.253105,48.106369,18
"Нижняя Орлянка I, селище","Самарская область, Сергиевский район, 3 км к северо-западу от с.Нижняя Орлянка",Не определена,1,50.925514,53.847069,19
"Нижняя Орлянка II, курганный могильник","Самарская область, Сергиевский район, Нижняя Орлянка",Не определена,1,50.951364,53.826225,20
"Нижняя Орлянка II, селище","Самарская область, Сергиевский район, 4,5 км к северо-западу от с.Нижняя Орлянка",Не определена,1,50.911931,53.851975,21
"Нижняя Орлянка III, курганный могильник","Самарская область, Сергиевский район, 3,5 км к северо-западу от с.Нижняя Орлянка",Не определена,1,50.915431,53.846967,22
"Нижняя Орлянка, курган одиночный","Самарская область, Сергиевский район, 0,25 км к юго-западу от с.Нижняя Орлянка",Не определена,1,50.948003,53.820669,23
"Павловка I, курганный могильник","Самарская область, Сергиевский район, 1,5 км к юго-востоку от с.Павловка",Не определена,1,51.072817,53.889361,24
