"IDMonument","IDStorePlace","CollectionNumber","Artifacts","Active"
"1135","5",,"3","true"
"1326","7",,"5","true"
"1347","7",,"8","true"
"1368","7",,"9","true"
"1380","5",,"10","true"
"1091","8",,"11","true"
"1383","8",,"12","true"
"1384","8",,"13","true"
"1396","8",,"14","true"
"1395","8",,"15","true"
"1263","6","15583","16","true"
"1377","11",,"20","true"
"1404","11",,"21","true"
"1399","8",,"22","true"
"1370","11",,"23","true"
"1401","11",,"24","true"
"1405","11",,"25","true"
"1408","11",,"26","true"
"1407","11",,"27","true"
"1406","11",,"28","true"
"1373","11",,"29","true"
"1409","11",,"30","true"
"632","12",,"31","true"
"872","6","9363, АА-127","32","true"
