"IDMonAlterNameRecord","IDMonument","Active","SourceType","IDArchiveSource","IDReport","IDPublication","MonAlterName"
"26","626","true","Публикация",,,"95","Архангельское II"
"27","626","true","Публикация",,,,
"28","627","true","Публикация",,,"95","Архангельское III"
"29","1022","true","Публикация",,,"37","Ашнякское II селище"
"30","1022","true","Публикация",,,"95","Ашнякское II селище"
"31","640","true","Публикация",,,"37","Базяковское II селище"
"32","640","true","Публикация",,,"95"," Базяковское II селище"
"33","653","true","Публикация",,,"95","Балымерское I городище"
"34","1143","true","Отчет",,,,"Старо-Пальчиковское селище"
"35","1259","true","Архивный источник",,,,"Ундоры II селище"
"36","1308","true","Публикация",,,"2","Большой городок"
"37","1309","true","Публикация",,,"2","Малый городок"
"38","1280","true",,,,,
"39","1296","true","Отчет",,"61",,"Новоульяновское поселение"
"40","1428","true","Публикация",,,"100","Ивановское городище"
"41","793","true",,,,,
"42","762","true","Отчет",,"66",,"Селище из Девичьего городка"
"43","864","true","Публикация",,,"35","Коминтерновское V селище"
"44","1045","true","Отчет",,"38",,"Арчиловское II селище"
"15","694","true","Публикация",,,"15","Большетарханское I селище"
"16","693","true","Публикация",,,"15","Большетарханское III селище"
"17","699","true","Публикация",,,"15","Большетарханское IV селище"
"21","1380","true","Публикация",,,"2","Севрюкаевское Лбище"
"22","816","true","Публикация",,"10","15","Кара-Бикуловское местонахождение"
