"IDMonument","MonNumber","MonName","IDMonType","IDState","IDRegion","MonDescription","MonLength","MonWide","MonSquare","MonLayer","IDSquareType","IDSoilType","IDWaterType","IDRiverReliefType","IDLocalReliefForm","MonDateToTheFort","IDArrangementType","FerrousMetallurgy","NonferrousMetallurgy","Agriculture","IDMapNumber","IDCurrentState","Active","Location Specified","MonTatarCodeNumber","IDMonCultureBelonging","AnotherCultureLayers","MonDecimalLatitude","MonDecimalLongitude","MonLatitude","MonLongitude"
"616","441","Азеевское III","3","3","31","В 4 км к СВ от с. Азеево, у края террасы.",,,,,,,"2","3","1","false","3","false","false","false","123",,"true","false",,"1","1","55.234130556","51.143083333"," 55° 14' 3"""," 51° 8' 35"""
"617","449","Акташское I","2","3","7","Напротив средней части с. Акташ, на краю надлуговой террасы правого берега р. Зай, в 2 км к ЮЮВ от д. Зай-Чишма, напротив изгиба ЛЭП, идущей вдоль террасы.","150","50","7500","40","2",,"2","3","3","false","3","false","false","false","146",,"true","false",,"2","2","55.041763889","52.145172222"," 55° 2' 30"""," 52° 8' 43"""
"618","450","Акташское II","2","3","7","В 300 м к ССЗ от Акташского I поселения, на склоне надлуговой террасы.","100","60","6000",,"2",,"2","3","3","false","3","false","false","false","146",,"true","false",,"3","3","55.044019444","52.145125"," 55° 2' 38"""," 52° 8' 42"""
"619","561","Алексеевка I","2","4","75","К З от затопленного с. Алексеевка (2 км к З от современной деревни того же наименования, 14 км к ЗСЗ от п. Мирный), на возвышении между оврагами. Затоплено.",,,,"20",,,"6","4","1","false","4","false","false","false","157",,"true","false",,"4","4","54.398791667","48.535558333"," 54° 23' 56"""," 48° 32' 8"""
"620","371","Алексеевское X","2","3","5","В 5,8 км к СЗ от п. Алексеевский, на краю разрушенной надлуговой террасы.","100","30","3000",,"2",,"2","3","3","false","4","false","false","false","133",,"true","false",,"5","5","55.347197222","50.017986111"," 55° 20' 50"""," 50° 1' 5"""
"621","573","Андреевка I","2","4","75","В 2 км к. ЗC3 от с. Андреевка, на удалении 100 м к ЮВ от Андреевского городища, на высокой террасе, между двумя оврагами.","650","120","78000",,"6",,"3","5","5","false","4","false","false","false","165",,"true","false",,"6","6","54.164413889","48.793655556"," 54° 9' 52"""," 48° 47' 37"""
"622","442","Андреевское Iа","2","3","31","На В окраине д. Андреевка, к В от фермы, на краю надлуговой террасы.","250","210","52500",,"5",,"2","3","3","false","3","false","false","false","145",,"true","false",,"7","7","55.032538889","51.428888889"," 55° 1' 57"""," 51° 25' 44"""
"623","443","Андреевское II","2","3","31","На В окраине д. Андреевка, в 200 м к В от Андреевского I селища (болг.), которое находится на З окраине д. Андреевка, справа от дорого в п. Аверьяновка.","370","140","51800",,"5",,"2","3","3","false","3","false","false","false","145",,"true","false","2341","8","8","55.034233333","51.417816667"," 55° 2' 3"""," 51° 25' 4"""
"624","164","Антоновское","2","3","37","В 0,5 км к В от с. Антоновка, на правом берегу р. Бездны, на краю надлуговой террасы.",,,,,,,"2","3","1","false","4","false","false","false","151",,"true","false","2752","9","9","54.915336111","49.528575"," 54° 54' 55"""," 49° 31' 43"""
"626","316","Архангельское I","2","3","31","В 3,4—3,5 км к Ю от с. Слобода Архангельская, на низком подчетырехугольном мысу надлуговой террасы, образованном двумя оврагами с С и Ю сторон [В Археологической карте Татарстана ""Центральное Закамье"" - Архангельское II селище].","120","100","12000","20","3",,"2","7","5","false","3","false","false","false","145",,"true","false","2345","11","11","55.127658333","51.250716667"," 55° 7' 40"""," 51° 15' 3"""
"627","317","Архангельское II","2","3","31","В 1,7 км к ЮЮЗ от Ю конца с. Слобода Архангельская, на склоне надлуговой террасы, с СВ и Ю ограничено оврагами.
[В археологической карте Татарстана ""Центральное Закамье"" и у П.Н. Старостина - Архангельское III селище].","150","70","10500","17","3",,"2","3","8","false","3","false","false","false","145",,"true","false","2346","12","12","55.140058333","51.257925"," 55° 8' 24"""," 51° 15' 29"""
"628","318","Архангельское III","3","3","31","В 3,2—3,3 км к СВ от с. Слобода Архангельская, на краю надлуговой террасы.",,,,,,,"2","3","1","false","1","false","false","false","145",,"true","false","2342","13","13","55.184405556","51.297188889"," 55° 11' 4"""," 51° 17' 50"""
"629","319","Архангельское V","3","3","31","В 4 км к Ю от с. Слобода Архангельская (пр.б.р. Шешма), на краю надлуговой террасы.",,,,,,,"2","3","1","false","1","false","false","false","145",,"true","false",,"14","14","55.122744444","51.246883333"," 55° 7' 22"""," 51° 14' 49"""
"630","458","Арчиловское I","2","3","90","На окраине быв. с. Арчиловка, к ЮВ от Полянского II (Арчиловского II) селища, на краю верхней террасы между двух оврагов.","100","100","10000","95","2",,"2","5","8","false","2","false","false","false","149",,"true","false",,"15","15","54.819933333","48.988588889"," 54° 49' 12"""," 48° 59' 19"""
"631","623","Аскулы I","2","2","65","На Ю окраине с.Аскулы, на широком мысу между отрогами восточной ветви Аскульского оврага.",,,"40000",,"4",,"3","6","5","false","4","false","false","false","173",,"true","false",,"16","16","53.273363889","49.616461111"," 53° 16' 24"""," 49° 36' 59"""
