"IDPubRecord","IDPublication","PageNumber","IDMonument","Active"
"8","{00000027-0000-0000-0000-000000000000}","72","616","true"
"9","{0000001B-0000-0000-0000-000000000000}","239","619","true"
"10","{00000027-0000-0000-0000-000000000000}","41","620","true"
"11","{0000001B-0000-0000-0000-000000000000}","240","621","true"
"12","{00000027-0000-0000-0000-000000000000}","80-81","622","true"
"13","{00000027-0000-0000-0000-000000000000}","81","623","true"
"14","{0000000F-0000-0000-0000-000000000000}","38","624","true"
"15","{00000024-0000-0000-0000-000000000000}","53","624","true"
"16","{00000021-0000-0000-0000-000000000000}","60","625","true"
"17","{0000000F-0000-0000-0000-000000000000}","34","625","true"
"18","{00000004-0000-0000-0000-000000000000}","58","625","true"
"19","{00000025-0000-0000-0000-000000000000}","91","625","true"
"20","{00000027-0000-0000-0000-000000000000}","75","626","true"
"21","{00000028-0000-0000-0000-000000000000}","15","626","true"
"22","{0000000F-0000-0000-0000-000000000000}","42","626","true"
"23","{00000027-0000-0000-0000-000000000000}","75","627","true"
"24","{00000028-0000-0000-0000-000000000000}","15","627","true"
"25","{0000000F-0000-0000-0000-000000000000}","42","627","true"
"26","{0000000F-0000-0000-0000-000000000000}","42","628","true"
"27","{00000028-0000-0000-0000-000000000000}","16","628","true"
"28","{00000028-0000-0000-0000-000000000000}","15","629","true"
"29","{0000000F-0000-0000-0000-000000000000}","42","629","true"
"30","{00000002-0000-0000-0000-000000000000}","51","632","true"
"31","{0000001B-0000-0000-0000-000000000000}","22-25","632","true"
"32","{0000000D-0000-0000-0000-000000000000}","252","632","true"
"33","{EAE14BC4-F828-4F1B-9C13-1027FDD1A480}","38-42","632","true"
"34","{473909CB-7B58-4506-A67B-FC57A9F8247A}","136-139","632","true"
"35","{0000001B-0000-0000-0000-000000000000}","16","633","true"
"36","{EAE14BC4-F828-4F1B-9C13-1027FDD1A480}","38-42","633","true"
"37","{473909CB-7B58-4506-A67B-FC57A9F8247A}","136-139","633","true"
"38","{0000000D-0000-0000-0000-000000000000}","252","633","true"
"39","{20368486-C2DC-46CE-B241-B24F32B3F8C8}","91-92","634","true"
"40","{A2BD7607-8DF0-4D91-AB6A-DC2E2DDD6BB7}","38","634","true"
"41","{0000000F-0000-0000-0000-000000000000}","37","634","true"
"42","{00000032-0000-0000-0000-000000000000}","105","634","true"
"43","{00000024-0000-0000-0000-000000000000}","32","634","true"
"44","{00000024-0000-0000-0000-000000000000}","32","635","true"
"45","{20368486-C2DC-46CE-B241-B24F32B3F8C8}","95","635","true"
"46","{0000000F-0000-0000-0000-000000000000}","41","637","true"
"47","{00000004-0000-0000-0000-000000000000}","58","638","true"
"48","{00000006-0000-0000-0000-000000000000}","46","638","true"
"49","{00000024-0000-0000-0000-000000000000}","75","638","true"
"50","{0000000F-0000-0000-0000-000000000000}","39","638","true"
"51","{00000004-0000-0000-0000-000000000000}","58","639","true"
"52","{00000006-0000-0000-0000-000000000000}","46","639","true"
"53","{00000024-0000-0000-0000-000000000000}","74","639","true"
"54","{0000000F-0000-0000-0000-000000000000}","39","639","true"
"55","{00000024-0000-0000-0000-000000000000}","80","640","true"
"56","{0000000F-0000-0000-0000-000000000000}","38","640","true"
"57","{0000000F-0000-0000-0000-000000000000}","39","641","true"
"58","{00000027-0000-0000-0000-000000000000}","58","641","true"
"59","{0000000F-0000-0000-0000-000000000000}","39","642","true"
"60","{00000027-0000-0000-0000-000000000000}","57","642","true"
"61","{0000000F-0000-0000-0000-000000000000}","39","643","true"
"62","{00000027-0000-0000-0000-000000000000}","58","643","true"
"63","{00000032-0000-0000-0000-000000000000}","104","644","true"
"64","{00000023-0000-0000-0000-000000000000}","92","644","true"
"65","{0000001E-0000-0000-0000-000000000000}","88","644","true"
"66","{0000001E-0000-0000-0000-000000000000}","88","645","true"
"67","{0000001E-0000-0000-0000-000000000000}","88","646","true"
"68","{00000024-0000-0000-0000-000000000000}","25","647","true"
"69","{0000000F-0000-0000-0000-000000000000}","37","647","true"
"70","{00000024-0000-0000-0000-000000000000}","24","649","true"
"71","{0000000F-0000-0000-0000-000000000000}","37","649","true"
"72","{00000024-0000-0000-0000-000000000000}","25","648","true"
"73","{0000000F-0000-0000-0000-000000000000}","37","648","true"
"74","{00000024-0000-0000-0000-000000000000}","24","650","true"
"75","{0000000F-0000-0000-0000-000000000000}","37","650","true"
"76","{0000000F-0000-0000-0000-000000000000}","37","651","true"
"77","{0000000F-0000-0000-0000-000000000000}","37","652","true"
"78","{00000024-0000-0000-0000-000000000000}","24","652","true"
"79","{00000032-0000-0000-0000-000000000000}","104-105","652","true"
"80","{0000000C-0000-0000-0000-000000000000}","25-48","652","true"
"81","{00000032-0000-0000-0000-000000000000}","104","653","true"
"82","{00000003-0000-0000-0000-000000000000}",,"653","true"
"83","{00000025-0000-0000-0000-000000000000}","151","653","true"
"84","{0000000F-0000-0000-0000-000000000000}","37","653","true"
"85","{00000008-0000-0000-0000-000000000000}","424-450","653","true"
"86","{00000024-0000-0000-0000-000000000000}","25","653","true"
"87","{00000004-0000-0000-0000-000000000000}","58","654","true"
"88","{00000006-0000-0000-0000-000000000000}","46","654","true"
"89","{00000021-0000-0000-0000-000000000000}","83-84","654","true"
"90","{0000000F-0000-0000-0000-000000000000}","35","654","true"
"91","{00000028-0000-0000-0000-000000000000}","33-34","655","true"
"92","{00000032-0000-0000-0000-000000000000}","105","656","true"
"93","{00000030-0000-0000-0000-000000000000}","362","656","true"
"94","{00000032-0000-0000-0000-000000000000}","113","657","true"
"95","{0000000D-0000-0000-0000-000000000000}","256","658","true"
"96","{0000001B-0000-0000-0000-000000000000}","33-34","658","true"
"97","{00000007-0000-0000-0000-000000000000}","136","658","true"
"98","{00000007-0000-0000-0000-000000000000}","136","659","true"
"99","{0000000D-0000-0000-0000-000000000000}","256","659","true"
"100","{00000015-0000-0000-0000-000000000000}","5","659","true"
"101","{0000001B-0000-0000-0000-000000000000}","29","659","true"
"102","{0000000F-0000-0000-0000-000000000000}","40","660","true"
"103","{00000032-0000-0000-0000-000000000000}","105","663","true"
"104","{00000027-0000-0000-0000-000000000000}","15-16","663","true"
"297","{0000001B-0000-0000-0000-000000000000}","21","759","true"
"298","{00000024-0000-0000-0000-000000000000}","77","760","true"
"299","{0000000F-0000-0000-0000-000000000000}","38","760","true"
"300","{00000024-0000-0000-0000-000000000000}","63-64","761","true"
"301","{00000004-0000-0000-0000-000000000000}","58","761","true"
"302","{00000006-0000-0000-0000-000000000000}","46-47","761","true"
"303","{00000001-0000-0000-0000-000000000000}","38","761","true"
"304","{00000032-0000-0000-0000-000000000000}","119","761","true"
"305","{0000000F-0000-0000-0000-000000000000}","38","761","true"
"306","{00000024-0000-0000-0000-000000000000}","64","762","true"
"307","{00000024-0000-0000-0000-000000000000}","63","763","true"
"308","{00000028-0000-0000-0000-000000000000}","67","764","true"
"309","{00000028-0000-0000-0000-000000000000}","37","765","true"
"310","{00000021-0000-0000-0000-000000000000}","88","766","true"
"311","{00000029-0000-0000-0000-000000000000}","16","767","true"
"312","{0000000F-0000-0000-0000-000000000000}","41","767","true"
"313","{00000004-0000-0000-0000-000000000000}","58","768","true"
"314","{00000006-0000-0000-0000-000000000000}","43-44","768","true"
"315","{00000021-0000-0000-0000-000000000000}","88","768","true"
"316","{0000000F-0000-0000-0000-000000000000}","33","768","true"
"317","{0000000D-0000-0000-0000-000000000000}","241","768","true"
"318","{00000019-0000-0000-0000-000000000000}","17","768","true"
"319","{0000000F-0000-0000-0000-000000000000}","33","769","true"
"320","{0000000D-0000-0000-0000-000000000000}","241","769","true"
"321","{00000021-0000-0000-0000-000000000000}","88","769","true"
"322","{00000024-0000-0000-0000-000000000000}","59","770","true"
"323","{0000000F-0000-0000-0000-000000000000}","37","770","true"
"324","{00000024-0000-0000-0000-000000000000}","60","771","true"
"325","{0000000F-0000-0000-0000-000000000000}","37","771","true"
"326","{00000024-0000-0000-0000-000000000000}","60","772","true"
"327","{0000000F-0000-0000-0000-000000000000}","37","772","true"
"328","{00000024-0000-0000-0000-000000000000}","59","773","true"
"329","{0000000F-0000-0000-0000-000000000000}","37","773","true"
"330","{00000032-0000-0000-0000-000000000000}","106","780","true"
"331","{0000000F-0000-0000-0000-000000000000}","42","786","true"
"332","{00000028-0000-0000-0000-000000000000}","30","786","true"
"333","{0000001B-0000-0000-0000-000000000000}","192-193","787","true"
"334","{00000032-0000-0000-0000-000000000000}","119","789","true"
"335","{B8A6906B-F8C1-4AE8-9EEF-ED9FB457264D}","56","789","true"
"337","{00000032-0000-0000-0000-000000000000}","119","793","true"
"338","{0000000F-0000-0000-0000-000000000000}","38","790","true"
"339","{00000024-0000-0000-0000-000000000000}","69","790","true"
"340","{00000004-0000-0000-0000-000000000000}","58","791","true"
"341","{00000006-0000-0000-0000-000000000000}","46","791","true"
"342","{0000000F-0000-0000-0000-000000000000}","38","791","true"
