"IDMapNumber","MapNumber","Active"
"1","Не нанесено","true"
"118","N38-058","true"
"119","N38-059","true"
"120","N38-069","true"
"121","N38-070","true"
"122","N38-071","true"
"123","N39-007","true"
"124","N39-008","true"
"125","N39-009","true"
"126","N39-010","true"
"127","N39-011","true"
"128","N39-012","true"
"129","N39-013","true"
"130","N39-014","true"
"131","N39-015","true"
"132","N39-016","true"
"133","N39-017","true"
"134","N39-018","true"
"135","N39-019","true"
"136","N39-020","true"
"137","N39-022","true"
"138","N39-023","true"
"139","N39-025","true"
"140","N39-026","true"
"141","N39-027","true"
"142","N39-028","true"
"143","N39-029","true"
"144","N39-030","true"
"145","N39-031","true"
"146","N39-033","true"
"147","N39-035","true"
"148","N39-037","true"
"149","N39-038","true"
"150","N39-039","true"
"151","N39-040","true"
"152","N39-041","true"
"153","N39-042","true"
"154","N39-043","true"
"155","N39-044","true"
"156","N39-049","true"
"157","N39-050","true"
"158","N39-051","true"
"159","N39-052","true"
"160","N39-053","true"
"161","N39-054","true"
"162","N39-055","true"
"163","N39-056","true"
"164","N39-061","true"
"165","N39-062","true"
"166","N39-065","true"
"167","N39-086","true"
"168","N39-087","true"
"169","N39-088","true"
"170","N39-089","true"
"171","N39-09","true"
"172","N39-099","true"
"173","N39-100","true"
"174","N39-101","true"
"175","O39-142","true"
"176","N38-057","true"
