"IDReport","IDAutor","RepName","IDPubPlace","RepYear","IDStorePlace","RepNumber","Active"
"1","17","Отчет о работе разведочной археологической экспедиции в восточные районы Мордовской АССР летом 1945 года.","12","1946","3","Ф1 Р1 №34","true"
"2","31","Отчет об археологической экспедиции по рекам Ахтаю и Бездне 1946 года.","4","1948","3","Ф1 Р1 №143","true"
"3","31","Отчет об археологической экспедиции 1948 г. по районам Татарской АССР.","4","1949","3","Р1 №202","true"
"4","21","Отчет о работе 3-го разведочного отряда Татарской археологической экспедиции КФАН за 1961 г.","4","1962","3","Р1 №2394","true"
"5","15","Отчет о разведочных работах IV отряда Татарской археологической экспедиции в 1961 г.","4","1962","3","Р1 №2394","true"
"7","10","Отчет об археологических раскопках II Маклашеевского городища летом 1963 года.","4","1964","3",,"true"
"8","10","Отчет об археологической разведке в зоне затопления Нижнекамской ГЭС, проведенной летом 1964 года.","4","1965","3",,"true"
"9","10","Отчет о результатах обследования археологических памятников в зоне Куйбышевского водохранилища в 1966 году.","4","1967","3",,"true"
"10","21","Отчет III отряда Татарской археологической экспедиции о разведочных работах 1965 г. в южных и восточных районах Татарии, в северных районах Ульяновской и Куйбышевской областей.","4","1969","3","Р1 №4135","true"
"11","2","Отчет об археологических исследованиях 1969 г. В Ульяновском Поволжье.","8","1970","3","Р1 №3929","true"
"12","2","Отчет об археологических исследованиях 1970 г. в Ульяновском Поволжье.","8","1971","3","Р1 №4287","true"
"13","20","Отчет I отряда Средневолжской археологической экспедиции об исследованиях памятников железного века в Куйбышевской области.","5","1972","1",,"true"
"14","2","Отчет об археологических исследованиях 1971 г. В Ульяновском Поволжье.","8","1972","3","Р1 №4469","true"
"15","2","Отчет об археологических исследованиях 1972 г. В Ульяновском Поволжье.","8","1973","3","Р1 №4839","true"
"16","2","Отчет об археологических исследованиях 1973 г. В Ульяновском Поволжье.","8","1974","3","Р1 №6008","true"
"17","10","Отчет об археологических разведках в верховьях р. Мёши в 1973 г.","4","1974","3","Р1 №5238","true"
"18","27","Отчет о разведочных работах в западных районах Ульяновской области в 1976 году.","4","1976","3",,"true"
"19","28","Отчет о раскопках в Ставропольском районе Куйбышевской области в 1976 г.","5","1977","1",,"true"
"20","10","Отчет о разведках в низовьях рр. Зая и Уратьмы (левых притоков р. Камы) в 1977 г.","4","1978","3","Р1 №6911","true"
"21","23","Отчет о разведках в Ставропольском районе Куйбышевской области.","5","1978","1",,"true"
"22","10","Отчет об археологических разведках в зоне строительства Заинской оросительной системы в 1978 г.","4","1979","3","Р1 №7326","true"
"23","30","Отчет об археологических разведках в Ставропольском районе Куйбышевской области по открытому листу №593.","5","1982","1",,"true"
"24","34","Отчет по разведочным работам по берегам Куйбышевского водохранилища в пределах ТАССР и Ульяновской области за 1984 г.","4","1984","3",,"true"
"25","10","Отчет о работах в Куйбышевском и Лаишевском районах Татарской АССР летом 1984 г.","4","1985","3","Р1 №10450","true"
"26","34","Отчет по разведочным работам по берегам Куйбышевского водохранилища в пределах ТАССР за 1985 г.","4","1986","3",,"true"
