"IDStorePlace","StorePlaceName","Active"
"1","Архив археологической лаборатории СамГУ","true"
"2","Архив отдела археологии СОИКМ им. П.В. Алабина","true"
"3","Архив ИА РАН","true"
"4","Архив ИИМК РАН","true"
"5","Фонды СамГУ","true"
"6","Национальный музей Республики Татарстан","true"
"7","Музей археологии республики Татарстан","true"
"8","СОИКМ им. П.В. Алабина","true"
"9","Научный архив Чувашского государственнного института гуманитарных наук. Отделение 2","true"
"10","Алатырский краеведческий музей","true"
"11","Археологические фонды ЧГИГН","true"
"12","Ульяновский ОКМ","true"
"13","Архив ИА АН РТ","true"
