"IDResearching","IDMonument","IDReport","PageNumber","Active"
"541","985","18","12","true"
"542","986","1","29","true"
"551","992","35","42-45","true"
"554","993","35","45-47","true"
"555","994","35","49-50","true"
"558","995","35","58-60","true"
"561","996","30",,"true"
"562","996","35","53-55","true"
"563","996","36",,"true"
"564","997","35","62-64","true"
"565","998","35","60-61","true"
"575","1006","10","153","true"
"586","1016","32",,"true"
"593","1023","1","21-23","true"
"594","1024","1","7-9","true"
"599","1025","1","9-10","true"
"600","1026","1","33-34","true"
"601","1027","1","10-12","true"
"602","1028","28",,"true"
"606","1028","35",,"true"
"612","1029","28","13-15","true"
"613","1029","35","24-29","true"
"621","1030","35","31-32","true"
"622","1031","10","163","true"
"623","1032","5",,"true"
"624","1033","5",,"true"
"625","1034","5",,"true"
"629","1036","34",,"true"
"630","1036","28",,"true"
"632","1036","35",,"true"
"637","1038","9","10-11","true"
"638","1039","10","113","true"
"645","1045","38",,"true"
"650","1048","10","138","true"
"655","1049","38",,"true"
"656","1050","38",,"true"
"657","1052","38",,"true"
"658","1053","35","89-90","true"
"665","1058","3","34","true"
"668","1054","3","35","true"
"675","1059","3",,"true"
"667","1056","3",,"true"
"683","1064","10","148-149","true"
"692","1071","22","4","true"
"711","1086","24",,"true"
"712","1087","43","8","true"
"713","1088","3","30","true"
"715","1089","3","30","true"
"716","1090","10","137","true"
"717","1091","10","138","true"
"718","1092","10","138","true"
"726","1100","10","188","true"
"727","1101","10","188-189","true"
"728","1102","10","189","true"
"744","1111","10","130","true"
"745","1112","10","129-130","true"
"746","1113","10","129","true"
"747","1114","10","129","true"
"748","1115","10","128","true"
"749","1116","10","128-129","true"
"750","1117","10","127","true"
"751","1118","10","128","true"
"752","1119","10","127","true"
"758","1125","4","23","true"
"772","1135","4","30-31","true"
"773","1135","15","36-40","true"
"782","1137","10","95","true"
"786","1141","10","150-151","true"
"787","1142","10","166","true"
"788","1143","22","7","true"
"791","1146","10","86-87","true"
"793","1148","2","30","true"
"799","1154","10","142","true"
"800","1155","10","142","true"
"801","1156","10","141","true"
"802","1157","10","140","true"
"803","1158","10",,"true"
"812","1165","12",,"true"
"814","1168","12",,"true"
"818","1169","4","17","true"
"855","1189","3","15-20","true"
"857","1190","3","29-30","true"
"859","1191","3","21-24","true"
"860","1191",,,"true"
"861","1192","3","29-30","true"
"870","1202","4","18-19","true"
"873","1203","4","19","true"
"877","1204","4","15-16","true"
"883","1206","35","79-81","true"
"881","1206","34","16-17","true"
"884","1208","34","17-18","true"
"885","1207","34","16","true"
"882","1206","28","9-10","true"
"886","1207","28","10-11","true"
"889","1207","35","77-79","true"
"890","1208","35","81-82","true"
"887","1207","44",,"true"
"903","1215","10","147-148","true"
"915","1226","12","28","true"
"917","1227","12","27-28","true"
"927","1232","10","145","true"
"928","1233","10","144","true"
"49","863","5","6","true"
"53","866","2","30","true"
"54","866","5","6-7","true"
"57","868","2","30","true"
"58","868","5","8-9","true"
"60","869","5",,"true"
"64","871","2","30","true"
"65","872","2","30","true"
"76","878","15","33-34","true"
"77","879","10","146","true"
"78","880","10","168","true"
"80","881",,,"true"
"81","881","4",,"true"
"84","884","15","59","true"
"86","886",,,"true"
"88","887","27","6-10","true"
"89","888","27","5-6","true"
"92","892","16","44","true"
"94","894","2","11-13","true"
"95","894","5","23-24","true"
"96","894","26","3","true"
"97","895","2","30","true"
"98","896","2","30","true"
"99","897","2","30","true"
"100","898","5",,"true"
"101","898","26","3","true"
"103","899","26",,"true"
"105","901","2","30","true"
"106","901","5",,"true"
"107","902","10","110","true"
"108","903","10","110","true"
"109","904","8","11","true"
"111","906","37",,"true"
"112","907","18","12-13","true"
"115","910","10","183","true"
"116","911","10","184","true"
"121","915","9","25-26","true"
"130","918","25","43-44","true"
"131","919","7","1","true"
"133","920","25","44","true"
"143","925","13",,"true"
"144","926","39","30-34","true"
"145","927","39","34-39","true"
"146","928","33","22-24","true"
"152","931","4","25","true"
"154","933","20","19-20","true"
"155","934","20","20-21","true"
"156","935","18","3","true"
"157","936","18","4","true"
"162","939","20","23-25","true"
"165","942","10","94","true"
"166","943","10","94-95","true"
"167","944","10","42","true"
"168","945","10","167","true"
"177","951","35",,"true"
"179","953","34",,"true"
"185","958","9","48-49","true"
"186","959","9","48","true"
"188","960","4","10","true"
"190","961","4","10","true"
"192","962","4","10-11","true"
"194","963","4","11","true"
"195","964","4","11-12","true"
"199","966","19","1","true"
"208","617","10","155","true"
"209","618","10","156","true"
"211","620","9","42-43","true"
"217","626","10","186-187","true"
"218","627","10","186","true"
"221","630","38",,"true"
"226","632","12",,"true"
"230","636","10","133-134","true"
"231","637","10","133-134","true"
