ID,Name,N,E
1,Большетарханское городище,54.669011111000032,48.613580556000045
2,Большетарханское Ia селище,54.698180556000068,48.520522222000068
3,Большетарханское II селище,54.695055556000057,48.517552778000038
4,Большетарханское I селище,54.698850000000050,48.528752778000069
5,Большетарханское VI селище,54.725513889000069,48.542227778000040
6,Большетарханское IV селище,54.695366667000030,48.510555556000043
7,Большетарханское III местонахождение,54.707736111000031,48.543208333000052
8,Тюкашинское местонахождение,54.670383333000075,48.594405556000027
9,Юматихинское I селище,54.835188889000051,48.861702778000051
10,Юматихинское II селище,54.832619444000045,48.858827778000034
11,Юматихинское III селище,54.835288889000026,48.858011111000053
12,Юматихинское IV селище,54.837041667000051,48.865436111000065
13,Тетюшское II городище,54.943297222000069,48.845352778000063
14,Тетюшское II селище,54.942477778000068,48.844225000000051
15,Елховское городище,55.063341667000032,48.999130556000068
16,Елховское селище,55.063691667000057,49.000461111000050
17,Сюкеевское I селище,55.088038889000075,49.013294444000053
18,Сюкеевское (Мазарки) селище,55.106533333000073,49.031319444000076
19,Мордовско-Каратаевское I селище,55.107511111000065,49.105605556000057
20,Мордовско-Каратаевское II селище,55.106444444000033,49.103630556000041
21,Мордовско-Каратаевское III селище,55.105561111000043,49.101250000000050
22,Мордовско-Каратаевское IV селище,55.104025000000036,49.099361111000064
23,Мордовско-Каратаевское V селище,55.102527778000081,49.099019444000078
24,Красно-Каратаевское городище,55.164252778000048,49.279175000000066
25,Кирельское I селище,55.126888889000043,49.177936111000065
26,Кирельское II селище,55.124161111000035,49.174805556000081
27,Кирельское III селище,55.133405556000071,49.181027778000043
28,Кирельское I (Сокол I) городище,55.127358333000075,49.180813889000035
29,Кирельское II (Сокол II) городище,55.125858333000053,49.180555556000058
30,Камско-Устьинское I  (Обач) селище,55.199272222000047,49.295563889000050
31,Камско-Устьинcкое II (Обач) селище,55.199725000000058,49.300688889000071
32,Камско-Устьинское (Обач) городище,55.199997222000036,49.299388889000056
33,Русско-Буртасское I городище,55.399522222000030,49.039083333000065
34,Русско-Буртасское II городище,55.397894444000030,49.041680556000074
35,Теньковское селище,55.442202778000080,48.968847222000079
36,Теньковское городище,55.442013889000066,48.967613889000063
37,Карамышихинское селище,55.589800000000082,48.480600000000038
38,Карамышихинское городище,55.589200000000062,48.481330556000046
39,Нижнебарышевское II селище,55.314108333000036,48.679227778000040
40,Булым-Булыхчинское II селище,55.245316667000054,48.471508333000031
41,Апастовское городище,55.210100000000068,48.505300000000034
42,Бишевское городище,55.232652778000045,48.458861111000033
43,Бишевское селище,55.233100000000036,48.459600000000080
44,Черки-Бибкеевское I селище,55.161086111000031,48.377352778000045
45,Черки-Бибкеевское II селище,55.153141667000057,48.376966667000033
46,Черки-Бибкеевское III селище,55.158191667000040,48.379455556000039
47,Черки-Бибкеевское II селище,55.147500000000036,48.375680556000077
48,Черки-Бибкеевское V селище,55.149927778000063,48.374777778000066
49,Черки-Бибкеевское I городище,55.156711111000050,48.380013889000054
50,Черки-Бибкеевское II городище,55.149400000000071,48.379197222000073
51,Япанчинское (Луковское) селище,55.504500000000064,48.390100000000075
52,Большефроловское городище,55.051700000000039,48.368900000000053
53,Большефроловское I селище,55.056800000000067,48.363200000000063
54,Большефроловское II селище,55.051400000000058,48.370300000000043
55,Степановское I городище,55.011597222000034,48.370469444000037
56,Степановское II (Шишка) городище,54.995783333000077,48.403025000000071
57,Степановское II селище,55.016141667000056,48.363469444000032
58,Степановское III селище,54.996183333000033,48.402961111000081
59,Степановское IV селище,55.035713889000078,48.348777778000056
60,Степановское V селище,55.002619444000061,48.388250000000028
61,Большекарлангинское городище,54.976100000000031,48.390600000000063
62,Большекарлангинское I селище,54.976200000000063,48.391900000000078
63,Большекарлангинское II селище,54.972400000000050,48.392500000000041
64,Большекарлангинское III селище,54.964200000000062,48.396100000000047
65,Большекарлангинское IV селище,54.956680556000038,48.394572222000079
66,Большекарлангинское V селище,54.948925000000031,48.394013889000064
67,Козловское селище,54.866350000000068,48.383808333000047
68,Красно-Польское I селище,54.896963889000062,48.433375000000069
69,Красно-Польское II селище,54.896863889000031,48.417452778000040
70,Старобурундуковское (Красная Круча) местонахождение,54.809033333000059,48.409805556000038
71,Кильнинское II селище,54.823711111000080,48.462352778000081
72,Чабровское II селище,54.772302778000039,48.363980556000058
73,Русско-Кищакское III селище,54.834400000000073,48.443080556000041
74,Киртелинское II селище,54.751027778000037,48.644233333000045
75,Киртелинское местонахождение,54.755861111000058,48.636752778000073
76,Красный Восток селище,54.720516667000027,48.641552778000062
77,Сюндюковское I селище,54.725363889000050,48.280658333000076
78,Сюндюковское II селище,54.706805556000063,48.261800000000051
79,Сюндюковское местонахождение,54.692208333000053,48.242897222000067
80,Нижнетарханское местонахождение,54.750375000000076,48.545402778000039
81,Баргузинское селище,55.207108333000065,49.039141667000081
82,Саралинское I (Тексер -  Лысая Гора) городище,55.323677778000047,49.231616667000026
83,Саралинское II (Девичья Гора) городище,55.326897222000071,49.226666667000075
84,Ташкирменьское I городище,55.315400000000068,49.386936111000068
85,Ташкирменьское I селище,55.314383333000080,49.386966667000081
86,Ташкирменьское II (Бишек-Тау) городище,55.315797222000072,49.384297222000043
87,Ташкирменьское II селище,55.315880556000081,49.384169444000065
88,Ташкирменьское III селище,55.304077778000078,49.392966667000053
89,Ташкирменьское IV селище,55.315411111000060,49.388138889000061
90,Ташкирменьское V селище,55.316486111000074,49.386677778000035
91,Ташкирменьское VI селище,55.315105556000049,49.384875000000079
92,Ташкирменьское III местонахождение,55.317972222000037,49.385094444000060
93,Рождественское городище,55.433163889000070,49.350344444000029
94,Рождественский II могильник,55.430291667000063,49.339613889000077
95,Рождественское III селище,55.421525000000031,49.356816667000032
96,Рождественское IV селище,55.432069444000035,49.341883333000055
97,Карадулинское II селище,55.509511111000052,49.323288889000025
98,Лаишевское II селище,55.396819444000073,49.598527778000062
99,Серебрячихинское I селище,55.403055556000027,49.630475000000047
100,Серебрячихинское II селище,55.392950000000042,49.614241667000044
101,Чирпынское селище,55.436572222000052,49.703719444000058
102,Именьковское I городище,55.435113889000036,49.698736111000073
