MonName,MonType,Epoch,Herit,N,E,,Index,,,
Болгарский археологический комплекс,Археологический комплекс,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.05785725,54.98064473,этот памятник затронут всеми исследованиями,1,,,
Бабий Бугор,Неукрепленное поселение,Великое переселение,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.043613889,54.987108333,,2,,,
Белая палата (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.052501832,54.979840717,,3,,,
Восточная палата (Ханская баня) (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.058972869,54.9846372,,4,,,
Восточный мавзолей (церковь св. Николая),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.056665853,54.985445552,,5,,,
Въездные ворота (Малый городок),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.058743622,54.967118918,,6,,,
Греческая палата (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.035847135,54.986605048,,7,,,
Дом с башнями (Ханский дворец) (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.057869946,54.986414426,,8,,,
Коптелов Бугор ,Укрепленное поселение,Великое переселение,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.064138889,54.987325,,9,,,
Красная палата (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.056856659,54.987000781,,10,,,
Мавзолей 2013 года,Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.059956387,54.967021644,,11,,,
Мавзолей №1 (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.063095482,54.979611231,,12,,,
Мавзолей №2 (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.064625384,54.979145536,,13,,,
Мавзолей №3 (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.064943484,54.98168716,,14,,,
Мавзолей №4 (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.066565429,54.979088027,,15,,,
Мавзолей №5 (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.055437191,54.969463022,,16,,,
Мавзолей №6 (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.052675103,54.983488466,,17,,,
Мавзолей №7 (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.053434151,54.983179136,,18,,,
Мавзолей №8 (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.061106901,54.972040684,,19,,,               
Мавзолей №9 (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.063323602,54.977769951,,20,,,       
Малый Иерусалимский овраг I селище,Неукрепленное поселение,Великое переселение,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.069954633,54.988946082,,21,,,       
Малый Иерусалимский овраг II селище,Неукрепленное поселение,Великое переселение,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.069954633,54.987994298,,22,,,
Малый минарет,Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.061360298,54.981272625,,23,,,
Подывановское селище,Неукрепленное поселение,Великое переселение,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.057197252,54.988592881,,24,,,
Поселение в заречье,Неукрепленное поселение,Великое переселение,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.06219412,54.990199017,,25,,,
Поселок у проезда на с. Подываново,Неукрепленное поселение,Великое переселение,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.072066405,54.987429176,,26,,,
Северный мавзолей (Монастырский погреб),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.05588874,54.986221242,,27,,,
"Слобода ""Галанкино озеро""",Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.046219923,54.977541538,,28,,,
Соборная мечеть,Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.056035918,54.985609263,,29,,,
Ханская усыпальница,Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.060946272,54.981703308,,30,,,
Черная палата,Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.053702138,54.9822217,,31,,,
Южное здание (Малый городок) (руины),Архитектурный,Средневековье,"Болгары (комплекс памятников археологических, исторических и архитектурных)  ",49.059115559,54.966199289,,32,,,
