IDMonument,MonNumber,MonName,IDMonType,IDState,IDRegion,MonDescription,MonLength,MonWide,MonSquare,MonLayer,IDSquareType,IDSoilType,IDWaterType,IDRiverReliefType,IDLocalReliefForm,MonDateToTheFort,IDArrangementType,FerrousMetallurgy,NonferrousMetallurgy,Agriculture,IDMapNumber,IDCurrentState,Active,Location Specified,MonTatarCodeNumber,IDMonCultureBelonging,AnotherCultureLayers,MonDecimalLatitude,MonDecimalLongitude,MonLatitude,MonLongitude
1415,795,"Красносюндюковское VI",2,4,80,,,,,,1,,3,6,2,0,1,0,0,0,,,1,0,,793,793,,,"54°38'53.89""","48°11'49.55"""
1421,801,"Горкинское IV",2,3,5,,,,,,,,,,,0,,0,0,0,,,1,0,,799,799,,,,
1423,803,"Ивановка IV",2,4,75,"Расположено в 1,8 км к СЗ от с. Ивановка, на правобережье Юрманского залива. Большую часть года затоплено водохранилищем.
В 1991 г. обнаружены несколько фрагментов керамики и значительное количество шлака.",,,,,1,,2,5,1,0,3,1,0,0,,5,1,0,,801,801,,,"54°28'08.46""","48°51'21.12"""
1425,805,"Карлинское VI",2,4,80,"Расположено в 1 км к В от с. Карлинское, на мысообразном останце 10-метровой террасы правого берега р. Свияги. На востоке граница поселения проходит по лесу. С остальных сторон его окружает луг (в настогящее время, видимо, застроенный дачами).",70,,,10,1,,2,5,1,0,3,0,0,0,,6,1,0,,803,803,,,"54°20'16.23""","48°16'23.97"""
1414,794,"Красносюндюковское VII",2,4,80,"За валами Красносюндюковского городища, на склоне берега Свияги. Найдено пряслице и лощеная миска.",,,,60,1,,2,3,3,0,1,0,0,0,,2,1,1,,792,792,,,"54°37'38.37""","48°11'34.36"""
1427,807,"Русская Беденьга",2,4,80,"В 2 км к ЮВ от с. Русская Беденьга, на правом берегу р. Беденьга. Поселение расположено по краю 10-метровой террасы. Площадка селища слегка возвышается над окружающей террасой.",200,150,,30,3,,2,3,3,0,4,0,0,0,,2,1,0,,805,805,,,"54°39'25.15""","48°21'45.10"""
1430,810,"Кирпичноостровское I",2,3,37,"В 1,5 км к СЗ от с. Измери на размытой песчаной поверхности надлуговой террасы.",20,20,400,,2,,6,1,1,0,1,0,0,0,,5,1,0,,808,808,,,"55°08'59.88""","49°31'08.64"""
1309,694,"Поливно II",1,4,80,"В 400 м к З от I городища (тоже в лесу), на крутом мысу при впадении в овраг Суходол опорного оврага, подобно I городищу, описано П.Л.Мартыновым, К.Н.Муромцевой и А.С.Воскресенским, Г.М. Буровым в 1972 г. не найдено. По П.Л.Мартынову, оно несколько меньше чем Большой Городок, но ""вал и ров лучше сохранились"". Площадка изрыта волчьими норами.",,,,,,,,,,0,,0,0,0,,,1,0,,689,689,5.4416886110999997e+01,4.8343994444000003e+01," 54° 25' 1"""," 48° 20' 38"""
1404,784,"Иваньково-Ленинское I",2,6,95,"В окрестностях Иваньково-Ленинского городища «Шолом». Селище I расположено с напольной стороны к ЗЮЗ от городища. 
Открыто краеведом А.А. Макеевым в 2012-2013 гг. Обследованы экспе-дицией ЧГИГН (Н.С. Мясников) в 2012-2013 гг. (на селище II заложен шурф 1х1 м).
Материал представлен фрагментами горшковидной неорнаментирован-ной керамики с бугристой поверхностью с примесями шамота, фрагмента ло-щеной миски, глиняных дисков-сковородок, лощеного биконического пряслица с широким отверстием.",,,,,1,,3,5,3,1,,0,0,0,,,1,1,,782,782,,,"N54°44'03.88""","E46°40'17.71"""
1413,793,"Комаровское III",2,4,80,"У северного берега оврага, напротив Комаровского I городища, вдоль края берега и внизу, на склонах оврага и в устье ручья собраны шлаки и отдельные фрагменты керамики",,,,,2,2,3,6,2,0,2,0,0,0,,,1,1,,791,791,,,"54°34'41.58""","48°18'15.91"""
1417,797,"Ундоровское III",2,4,80,"На мысу между оврагами, за валом городища",190,55,9800,,2,4,3,5,5,1,2,1,0,0,,2,1,1,,795,795,,,"54°34'36.65""","48°23'01.21"""
1418,798,"Ундоровское IV",2,4,80,"К северу от Ундоровского IV городища, у оврага",50,27,1000,,2,4,3,5,2,0,2,1,0,0,,2,1,1,,796,796,,,"54°35'01.57""","48°23'08.11"""
1422,802,"Юрманки II",2,4,75,"Селище расположено на территории быв.сел. Юрманки, севернее первого поселения, которое отдалено от второго заливом водохранилища. В настоящее время несколько построек, оставшиеся от деревни, расположены на серпообразном мысе, тянущемся с З на С. В 1972г. Г.М. Буровым на волноприбойной террасе по юго-восточному побережью обнаружены отдельные лепные черепки средневекового возраста.
По Р.Р. Бурундукову, селище расположено на восточной окраеине дачного поселка Юрманки (территория бывшего села Юрманки). Занимает восточную оконечность мыса на левобережье Юрманского залива. Территория памятника большую часть времени затоплена водохранилищем. Культурный слой размыт.",150,50,,,2,,2,3,3,0,3,0,0,0,,5,1,0,,800,800,,,"54°28'03.07""","48°47'28.76"""
1411,791,"Красно-Каратаевское",2,3,22,"За валом Красно-Каратаевского городища.",,,,70,1,,2,3,7,1,2,0,0,0,,3,1,1,,789,789,,,"N55°09'52.22""","E49°16'40.17"""
1419,799,"Новокиреметское III",2,3,3,"На правом берегу р. Киреметь, к югу от места впадения ручья Ишим.",126,85,7750,,2,2,2,3,3,0,3,0,0,0,,2,1,1,,797,797,,,"54°51'51.58""","50°42'47.58"""
1424,804,"Архангельское IV",2,4,75,"Расположено в 2,5 км к СВ от с. Архангельское, на левом берегу р. Волги, рядом с турбазой ""Чайка"". Берег Волги обрывистый, высотой до 15 м. На расстоянии 100 м друг от друга берег прорезается двумя оврагами, образованными сточными водами. В обрыве берега, между двумя оврагами и на 60 м за западным оврагом найдены фрагменты лепной керамики.",160,,,,1,,2,5,1,0,3,0,0,0,,6,1,0,,802,802,,,"54°26'49.86""","48°42'01.02"""
1308,693,"Поливно I",1,4,80,"Находится у северной окраины Ульяновска, в 1 км к СЗ от быв.сел. Поливна (территория города), в густом лесу, на мысу, образованном двумя оврагами, которые здесь тянутся под острым углом друг к другу. С В мыс ограничен глубочайшим Поливным (Поливенским, или Поливнинским) оврагом, впадающим в Волгу у поселка, с ЮЗ и Ю - Суходолом, склоны которого гораздо более покаты. В 100 м к ЮВ от городища сливаются друг с другом протекающие по оврагам ручьи, причем к устью плавно спускается длинная очень узкая стрелка. С напольной стороны городищенская площадка, заметно наклоненная к ЮВ, защищена дугообразным валом, имеющим в средней части разрыв для въезжих ворот. Вал усилен рвом, проходящим не с внешней, а с внутренней стороны и охватывающим площадку также со стороны неглубокого Суходола. Против прохода в валу, на краю рва, имеются две симметрично расположенные ямы (2x1,8 и 1x1 м). Площадка, приближающаяся по форме к пятиугольнику достигает длины 140 м. Это укрепленное поселение впервые было описано П.Л.Мартыновым в его работе 1896 г., позднее те же сведения о городище опубликованы В.Н.Поливановым (1900 г.). В 30-х годах памятник был обследован, вероятно, К.Н. Муромцевой, в 1963 г. - А.С.Воскресенским, в 1972 г. - Г.М.Буровым, которым до этого (1971 г.) обобщены все сведения о городище.
Обследование немногочисленных обнажений по восточному краю в 1969 и 1972 гг. не дало никаких находок, хотя в 20-х годах на городище собрано ""несколько черепков болгарского типа"". Песчаная подзолистая почва выглядит стерильной; это позволяет рассматривать памятник как остатки убежища без значительного постоянного населения.",140,,,,,4,3,5,5,0,2,0,0,0,,4,1,0,,688,688,5.4412255555999998e+01,4.8354616667000002e+01," 54° 24' 44"""," 48° 21' 17"""
1377,762,"Иваньково-Ленинское ""Макеевское""",2,6,95,"Расположено на правом низком берегу Суры на пойменной террасе, непо-средственно у воды, напротив села. В размыве берега на протяжении 300-500 м ранее находили кости, керамику, глиняные подделки, «красные бусы» и др.
Открыто в 1970-1980-е гг. сотрудником АКМ А.А. Макеевым. В 2012 г. описано экспедицией ЧГИГН (Н.С. Мясников) (зачищен участок обрыва берега Суры). Обнаружены фрагменты лепной грубой неорнаментированной керамики, фрагменты трех дисков-сковородок, фигурка животного.",400,,,,1,,2,2,,0,2,0,0,0,,,1,0,,755,755,5.4707050000000002e+01,4.6701174999999999e+01," 54° 42' 25"""," 46° 42' 4"""
872,161,"Косяковское II",2,3,37,"На месте б.д. Косяково.
По данным 1971 г., поселение полностью затоплено, но подъемный материал собрать удалось.",80,20,1600,112,2,,2,3,1,0,3,0,0,0,141,5,1,0,,257,257,5.5073241666999998e+01,4.9430272221999999e+01," 55° 4' 24"""," 49° 25' 49"""
1429,809,"Черемшанское",2,4,82,"На первой террасе р. Б.Черемшан, к Ю от с. Мулловка.",,,,,1,,2,1,1,0,1,0,0,0,,5,1,0,,807,807,,,"54°07'21.93""","49°23'40.25"""""
1428,808,"Чертов городок",2,4,75,"Находится в 7 км к Ю от с. Кременки и в 2,5 км к ЮЗ от церкви с. Ивановка на полуострове, в прошлом - мысе террасы р. Урень. Оборонительные сооружения городища относятся, видимо, к домонгольскому периоду.",,,,,3,,2,5,7,0,1,0,0,0,,4,1,1,,806,806,,,"54°28'30.47""","48°48'49.20"""
929,117,"Малиновка I",2,4,81,"В 4 км к ССЗ от б.д. Малиновка, на склоне полого спускающейся надпойменной террасы. С западо от селища луга затоплены водохранилищем (1961 г.). В 300 м к ЮЗ от селища Фахрутдинов отмечает остров, поросший кустарником.  [У А.П. Смирнова и Е.П. Казакова - селище Головкино III.]",260,100,26000,17,3,,5,3,3,0,3,0,0,0,157,,1,0,,314,314,,,"54°34'52.71""","48°54'16.30"""
931,118,"Малиновка III",2,4,81,"В 2 км к С от б.д. Малиновка, на полого спускающейся надлуговой террасе, той же, где находится I селище. С северной стороны селище ограничено небольшим оврагом, в котором растут несколько дубов. Именьковская керамика представлена только 1 фрагментом.",160,130,20800,45,3,,5,3,3,0,3,0,0,0,157,5,1,0,,316,316,,,"54°33'27.39""","48°54'50.16"""
