Автор,Название статьи,Название сборника/журнала,Выпуск / номер,Где издано,Год издания,Страницы,Номер отчета,Название памятника
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","107",,"Карлинское III"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","107",,"Кармалинское"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","108",,"Коминтерновское"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","108",,"Коминтерновское IV (Курган)"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","108",,"Коминтерновское III а"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","108",,"Коминтерновский II"
"Казаков Е.П.","Коминтерновский II могильник в системе древностей эпохи Тюркских каганатов","Культуры евразийских степей второй половины I тысячелетия н.э. (вопросы хронологии)",,"Самара","1998","98",,"Коминтерновский II"
,"Археологическая карта Татарской АССР. Западное Закамье. Часть I.",,,"Казань","1986","68",,"Коминтерновский II"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","109",,"Красная Поляна"
"Матвеева Г.И.","Среднее Поволжье в IV - VII вв.: именьковская культура.",,,"Самара","2004","109",,"Красная Река I"
"Семыкин Ю.А.","Исследования памятников эпохи Средневековья в Ульяновском Поволжье","Археологические открытия Урала и Поволжья",,"Ижевск","1991","144-145",,"Красная Поляна"
"Казаков Е.П.","Исследования раннеболгарской экспедиции в Закамье","Археологические открытия Урала и Поволжья",,"Йошкар-Ола","1994","57",,"Коминтерновский III"
"Казаков Е.П.","Исследования раннеболгарской экспедиции в Закамье","Археологические открытия Урала и Поволжья",,"Йошкар-Ола","1994","56",,"Измерский IX"
"Бугров Д.Г., Руденко К.А, Хабаров В.В., Шайхутдинов Р.Р.","Разведочные работы Казанского университета на территории Татарии","Археологические открытия Урала и Поволжья",,"Ижевск","1991","31",,"Танайка"
"Руденко К.А.","Работы Первого отряда экспедиции Казанскогог университета в Татарии","Археологические открытия Урала и Поволжья",,"Ижевск","1991","72",,"Малополянское V"
"Руденко К.А.","Работы Первого отряда экспедиции Казанскогог университета в Татарии","Археологические открытия Урала и Поволжья",,"Ижевск","1991","72",,"Русскосарсазское"
