"IDMonAlterNameRecord","IDMonument","Active","SourceType","IDArchiveSource","IDReport","IDPublication","MonAlterName"
"26","626","true","Публикация",,,"{9B13C779-A35A-4D42-B5E6-1B572D19B513}","Архангельское II"
"27","626","true","Публикация",,,,
"28","627","true","Публикация",,,"{9B13C779-A35A-4D42-B5E6-1B572D19B513}","Архангельское III"
"29","1022","true","Публикация",,,"{00000027-0000-0000-0000-000000000000}","Ашнякское II селище"
"30","1022","true","Публикация",,,"{9B13C779-A35A-4D42-B5E6-1B572D19B513}","Ашнякское II селище"
"31","640","true","Публикация",,,"{00000027-0000-0000-0000-000000000000}","Базяковское II селище"
"32","640","true","Публикация",,,"{9B13C779-A35A-4D42-B5E6-1B572D19B513}"," Базяковское II селище"
"33","653","true","Публикация",,,"{9B13C779-A35A-4D42-B5E6-1B572D19B513}","Балымерское I городище"
"34","1143","true","Отчет",,,,"Старо-Пальчиковское селище"
"35","1259","true","Архивный источник",,,,"Ундоры II селище"
"36","1308","true","Публикация",,,"{00000002-0000-0000-0000-000000000000}","Большой городок"
"37","1309","true","Публикация",,,"{00000002-0000-0000-0000-000000000000}","Малый городок"
"38","1280","true",,,,,
"39","1296","true","Отчет",,"{13C04D9D-4B4C-4B6A-A29B-E769230187EB}",,"Новоульяновское поселение"
"40","1428","true","Публикация",,,"{104DAEA6-D7BD-4AD0-805A-9B6D6A6E3C0C}","Ивановское городище"
"41","793","true",,,,,
"42","762","true","Отчет",,"{AC84B527-3A8C-42C9-960C-9E2BE871AC91}",,"Селище из Девичьего городка"
"43","864","true","Публикация",,,"{00000024-0000-0000-0000-000000000000}","Коминтерновское V селище"
"44","1045","true","Отчет",,"{AD29E916-2297-41AA-97B2-97133D96E8CF}",,"Арчиловское II селище"
"15","694","true","Публикация",,,"{0000000F-0000-0000-0000-000000000000}","Большетарханское I селище"
"16","693","true","Публикация",,,"{0000000F-0000-0000-0000-000000000000}","Большетарханское III селище"
"17","699","true","Публикация",,,"{0000000F-0000-0000-0000-000000000000}","Большетарханское IV селище"
"21","1380","true","Публикация",,,"{00000002-0000-0000-0000-000000000000}","Севрюкаевское Лбище"
"22","816","true","Публикация",,"{0000000A-0000-0000-0000-000000000000}","{0000000F-0000-0000-0000-000000000000}","Кара-Бикуловское местонахождение"
