"IDResearching","IDMonument","IDReport","PageNumber","Active"
"541","985","{00000012-0000-0000-0000-000000000000}","12","true"
"542","986","{00000001-0000-0000-0000-000000000000}","29","true"
"551","992","{00000024-0000-0000-0000-000000000000}","42-45","true"
"554","993","{00000024-0000-0000-0000-000000000000}","45-47","true"
"555","994","{00000024-0000-0000-0000-000000000000}","49-50","true"
"558","995","{00000024-0000-0000-0000-000000000000}","58-60","true"
"561","996","{0000001E-0000-0000-0000-000000000000}",,"true"
"562","996","{00000024-0000-0000-0000-000000000000}","53-55","true"
"563","996","{00000025-0000-0000-0000-000000000000}",,"true"
"564","997","{00000024-0000-0000-0000-000000000000}","62-64","true"
"565","998","{00000024-0000-0000-0000-000000000000}","60-61","true"
"575","1006","{0000000A-0000-0000-0000-000000000000}","153","true"
"586","1016","{00000020-0000-0000-0000-000000000000}",,"true"
"593","1023","{00000001-0000-0000-0000-000000000000}","21-23","true"
"594","1024","{00000001-0000-0000-0000-000000000000}","7-9","true"
"599","1025","{00000001-0000-0000-0000-000000000000}","9-10","true"
"600","1026","{00000001-0000-0000-0000-000000000000}","33-34","true"
"601","1027","{00000001-0000-0000-0000-000000000000}","10-12","true"
"602","1028","{0000001C-0000-0000-0000-000000000000}",,"true"
"606","1028","{00000024-0000-0000-0000-000000000000}",,"true"
"612","1029","{0000001C-0000-0000-0000-000000000000}","13-15","true"
"613","1029","{00000024-0000-0000-0000-000000000000}","24-29","true"
"621","1030","{00000024-0000-0000-0000-000000000000}","31-32","true"
"622","1031","{0000000A-0000-0000-0000-000000000000}","163","true"
"623","1032","{00000005-0000-0000-0000-000000000000}",,"true"
"624","1033","{00000005-0000-0000-0000-000000000000}",,"true"
"625","1034","{00000005-0000-0000-0000-000000000000}",,"true"
"629","1036","{00000023-0000-0000-0000-000000000000}",,"true"
"630","1036","{0000001C-0000-0000-0000-000000000000}",,"true"
"632","1036","{00000024-0000-0000-0000-000000000000}",,"true"
"637","1038","{00000009-0000-0000-0000-000000000000}","10-11","true"
"638","1039","{0000000A-0000-0000-0000-000000000000}","113","true"
"645","1045","{AD29E916-2297-41AA-97B2-97133D96E8CF}",,"true"
"650","1048","{0000000A-0000-0000-0000-000000000000}","138","true"
"655","1049","{AD29E916-2297-41AA-97B2-97133D96E8CF}",,"true"
"656","1050","{AD29E916-2297-41AA-97B2-97133D96E8CF}",,"true"
"657","1052","{AD29E916-2297-41AA-97B2-97133D96E8CF}",,"true"
"658","1053","{00000024-0000-0000-0000-000000000000}","89-90","true"
"665","1058","{00000003-0000-0000-0000-000000000000}","34","true"
"668","1054","{00000003-0000-0000-0000-000000000000}","35","true"
"675","1059","{00000003-0000-0000-0000-000000000000}",,"true"
"667","1056","{00000003-0000-0000-0000-000000000000}",,"true"
"683","1064","{0000000A-0000-0000-0000-000000000000}","148-149","true"
"692","1071","{00000016-0000-0000-0000-000000000000}","4","true"
"711","1086","{00000018-0000-0000-0000-000000000000}",,"true"
"712","1087","{2077ED2B-D3CB-40CD-AD15-7EE78B7A21BE}","8","true"
"713","1088","{00000003-0000-0000-0000-000000000000}","30","true"
"715","1089","{00000003-0000-0000-0000-000000000000}","30","true"
"716","1090","{0000000A-0000-0000-0000-000000000000}","137","true"
"717","1091","{0000000A-0000-0000-0000-000000000000}","138","true"
"718","1092","{0000000A-0000-0000-0000-000000000000}","138","true"
"726","1100","{0000000A-0000-0000-0000-000000000000}","188","true"
"727","1101","{0000000A-0000-0000-0000-000000000000}","188-189","true"
"728","1102","{0000000A-0000-0000-0000-000000000000}","189","true"
"744","1111","{0000000A-0000-0000-0000-000000000000}","130","true"
"745","1112","{0000000A-0000-0000-0000-000000000000}","129-130","true"
"746","1113","{0000000A-0000-0000-0000-000000000000}","129","true"
"747","1114","{0000000A-0000-0000-0000-000000000000}","129","true"
"748","1115","{0000000A-0000-0000-0000-000000000000}","128","true"
"749","1116","{0000000A-0000-0000-0000-000000000000}","128-129","true"
"750","1117","{0000000A-0000-0000-0000-000000000000}","127","true"
"751","1118","{0000000A-0000-0000-0000-000000000000}","128","true"
