"IDResearching","IDAutor","IDResType","ResYear","ExcavatedArea","IDMonument","Active"
"44","15","4","1984",,"861","true"
"45","15","4","1989",,"861","true"
"46","15","4","1992",,"861","true"
"47","15","4","1994",,"861","true"
"48","15","4","1992",,"862","true"
"49","15","2","1961",,"863","true"
"50","10","2","1964",,"863","true"
"51","63","2","1964",,"864","true"
"52","63","2","1964",,"865","true"
"53","31","2","1946",,"866","true"
"54","15","2","1961",,"866","true"
"55","63","2","1964",,"866","true"
"56","15","2","1964",,"867","true"
"57","31","2","1946",,"868","true"
"58","15","2","1961",,"868","true"
"59","10","4","1964","220","868","true"
"60","15","2","1961",,"869","true"
"61","64","4","1938","80","870","true"
"62","10","4","1971",,"870","true"
"63","10","4","1979",,"870","true"
"64","31","2","1946",,"871","true"
"65","31","2","1946",,"872","true"
"66","31","2","1946",,"873","true"
"67","65","2","1939",,"874","true"
"68","49","2","1954",,"874","true"
"69","56","4","1989","256","874","true"
"70","49","2","1954",,"875","true"
"71","56","4","1988",,"875","true"
"72","49","2","1954",,"876","true"
"73","65","2","1939",,"877","true"
"74","49","2","1954",,"877","true"
"75","65","2","1939",,"878","true"
"76","2","2","1972",,"878","true"
"77","21","3","1965",,"879","true"
"78","21","1","1965",,"880","true"
"79","66","1","1977",,"880","true"
"80","31","2","1949",,"881","true"
"81","21","2","1960",,"881","true"
"82","31","2","1949",,"882","true"
"83","31","2","1949",,"883","true"
"84","2","1","1972",,"884","true"
"85","67","2","1957",,"885","true"
"86","19","2","1987",,"886","true"
"88","19","4","1988","32","887","true"
"89","19","2","1988",,"888","true"
"90","25","2","2008",,"889","true"
"91","42","2","1985",,"891","true"
"92","2","2","1973",,"892","true"
"94","31","3","1946",,"894","true"
"95","15","2","1961",,"894","true"
"96","34","2","1985",,"894","true"
"97","31","2","1946",,"895","true"
"98","31","2","1946",,"896","true"
"99","31","2","1946",,"897","true"
"100","15","2","1961",,"898","true"
"101","34","2","1985",,"898","true"
"102","58","4","1989","92","898","true"
"103","34","2","1985",,"899","true"
"104","66","2","1965",,"900","true"
"105","31","2","1946",,"901","true"
"106","15","2","1961",,"901","true"
"107","21","2","1965",,"902","true"
"108","21","2","1965",,"903","true"
"109","10","3","1964",,"904","true"
"110","15","1","1979",,"905","true"
"111","53","3","1961",,"906","true"
"112","27","2","1976",,"907","true"
"113","63","2","1960",,"908","true"
"114","63","2","1960",,"909","true"
"115","21","2","1965",,"910","true"
"116","21","2","1965",,"911","true"
"117","54","2","1923",,"912","true"
"118","20","4","1970","144","912","true"
"119","63","2","1960",,"913","true"
"120","63","2","1960",,"914","true"
"121","10","2","1966",,"915","true"
"122","10","4","1980",,"916","true"
"123","10","4","1981",,"916","true"
"124","10","4","1982",,"916","true"
"550","73","2","1969",,"992","true"
"551","22","2","1993",,"992","true"
"552","73","2","1969",,"993","true"
"553","26","3","1987",,"993","true"
"554","22","3","1993",,"993","true"
"555","22","3","1993",,"994","true"
"556","73","2","1969",,"995","true"
"557","26","2","1987",,"995","true"
"558","22","3","1993",,"995","true"
"559","73","2","1969",,"996","true"
"560","26","2","1987",,"996","true"
"561","3","4","1992","142","996","true"
"562","22","2","1993",,"996","true"
"563","3","4","1994","114","996","true"
"564","22","3","1993",,"997","true"
"565","22","3","1993",,"998","true"
"566","42","2","1970",,"999","true"
"567","16","2",,,"1000","true"
"568","74","2","1973",,"1000","true"
"569","66","2","1965",,"1001","true"
"570","74","2","1973",,"1002","true"
"571","74","2","1973",,"1003","true"
"572","74","2","1963",,"1004","true"
"573","16","2",,,"1005","true"
"574","74","2","1963",,"1005","true"
"575","21","3","1965",,"1006","true"
"576","74","2","1961",,"1007","true"
"577","66","2","1965",,"1008","true"
"578","63","2","1960",,"1009","true"
"579","63","2","1960",,"1010","true"
"580","63","2","1960",,"1011","true"
"581","63","2","1960",,"1012","true"
"582","20","2","1973",,"1013","true"
